l1 labels,source label,positive gene marker,positive protein marker,negative gene marker,negative protein marker,source,link,notes
MSC,,"ENG, NT5E, THY1","CD105, CD73, CD90",,,"Muntión S, Sánchez-Luis E, Díez-Campelo M, Blanco JF, Sánchez-Guijo F, De Las Rivas J. Novel Gene Biomarkers Specific to Human Mesenchymal Stem Cells Isolated from Bone Marrow. Int J Mol Sci. 2024 Nov 6;25(22):11906. doi: 10.3390/ijms252211906. PMID: 39595975; PMCID: PMC11593895.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11593895/,
MSC,,"HLA-DRA, HLA-DRB, CD74, TFPI2, SERPINI1",,,,"Ishii M, Koike C, Igarashi A, Yamanaka K, Pan H, Higashi Y, Kawaguchi H, Sugiyama M, Kamata N, Iwata T, Matsubara T, Nakamura K, Kurihara H, Tsuji K, Kato Y. Molecular markers distinguish bone marrow mesenchymal stem cells from fibroblasts. Biochem Biophys Res Commun. 2005 Jun 24;332(1):297-303. doi: 10.1016/j.bbrc.2005.04.118. PMID: 15896330.",https://pubmed.ncbi.nlm.nih.gov/15896330/,
MSC,,"ITGB1, CD44, NT5E, THY1, ENG","CD29, CD44, CD73, CD90, CD105","CD34, PTPRC","CD34, CD45","Lei Q, Liu T, Gao F, Xie H, Sun L, Zhao A, Ren W, Guo H, Zhang L, Wang H, Chen Z, Guo AY, Li Q. Microvesicles as Potential Biomarkers for the Identification of Senescence in Human Mesenchymal Stem Cells. Theranostics. 2017 Jul 6;7(10):2673-2689. doi: 10.7150/thno.18915. PMID: 28819455; PMCID: PMC5558561.",https://pmc.ncbi.nlm.nih.gov/articles/PMC5558561/,
MSC,,MMP1,,,,"Wu Y, Tang Y, Zhang X, Chu Z, Liu Y, Tang C. MMP-1 promotes osteogenic differentiation of human bone marrow mesenchymal stem cells via the JNK and ERK pathway. Int J Biochem Cell Biol. 2020 Dec;129:105880. doi: 10.1016/j.biocel.2020.105880. Epub 2020 Nov 4. PMID: 33157237.",https://pubmed.ncbi.nlm.nih.gov/33157237/,
MSC,,"MME, NT5E, PDGFRB, MCAM, GD2, NGFR","CD10, CD73, CD140b, CD146, GD2, CD271",,,"Rasini V, Dominici M, Kluba T, Siegel G, Lusenti G, Northoff H, Horwitz EM, Schäfer R. Mesenchymal stromal/stem cells markers in the human bone marrow. Cytotherapy. 2013 Mar;15(3):292-306. doi: 10.1016/j.jcyt.2012.11.009. Epub 2013 Jan 9. PMID: 23312449.",https://pubmed.ncbi.nlm.nih.gov/23312449/,
MSC,,"MARCKS, CXCL12, PDGFRA, LEPR",,,,"Fiévet L, Espagnolle N, Gerovska D, Bernard D, Syrykh C, Laurent C, Layrolle P, De Lima J, Justo A, Reina N, Casteilla L, Araúzo-Bravo MJ, Naji A, Pagès JC, Deschaseaux F. Single-cell RNA sequencing of human non-hematopoietic bone marrow cells reveals a unique set of inter-species conserved biomarkers for native mesenchymal stromal cells. Stem Cell Res Ther. 2023 Aug 30;14(1):229. doi: 10.1186/s13287-023-03437-x. PMID: 37649081; PMCID: PMC10469496.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10469496/,
MSC,,"SERPINE1, SERPINE2, NT5DC2, MMP10, TFPI, GDF15, FGD1, MARCKSL1, HOXD1, HOXD8, LOX, HOXD1, SOX4, FOXC1, MEOX2, HOXA9, LOXL2, QSOX2, FOXO1, FOXC2, COX7A1",,ALOX5,,indepedent,,"- HOXA genes shows weak positive assocaition with BMSC cluster
- HOXC genes shows weak positive assocaition with BMSC cluster
- ALOX genes show strong negative association with BMSC cluster"
Hematopoietic Stem Cell (HSC),,"CD34, PROM1, CRHBP, AVP, MLLT3, FAM30A, GATA1",,,,"Li H, Bräunig S, Dhapolar P, Karlsson G, Lang S, Scheding S. Identification of phenotypically, functionally, and anatomically distinct stromal niche populations in human bone marrow based on single-cell RNA sequencing. Elife. 2023 Mar 6;12:e81656. doi: 10.7554/eLife.81656. PMID: 36876630; PMCID: PMC10097421.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10097421/,
Granulocyte-Monocyte Progenitor (GMP),,"KIT, CD34, CD115",,LY6A ,,"Yáñez A, Coetzee SG, Olsson A, Muench DE, Berman BP, Hazelett DJ, Salomonis N, Grimes HL, Goodridge HS. Granulocyte-Monocyte Progenitors and Monocyte-Dendritic Cell Progenitors Independently Produce Functionally Distinct Monocytes. Immunity. 2017 Nov 21;47(5):890-902.e4. doi: 10.1016/j.immuni.2017.10.021. PMID: 29166589; PMCID: PMC5726802.",https://pmc.ncbi.nlm.nih.gov/articles/PMC5726802/,"Author only list ""Fc gamma Receptor"" as one of the positive GMP markers, but this is a family of proteins not a single protein."
Granulocyte-Monocyte Progenitor (GMP),,"CD2, CD3D, CD3E, CD3G, CD247, CD19, CD14, FCGR3A, CD68","CD2, CD3, CD19, CD14, FCGR3A, CD68",,,"Jarczak J, Thetchinamoorthy K, Wierzbicka D, Bujko K, Ratajczak MZ, Kucia M. Expression of innate immunity genes in human hematopoietic stem/progenitor cells - single cell RNA-seq analysis. Front Immunol. 2025 Apr 8;16:1515856. doi: 10.3389/fimmu.2025.1515856. PMID: 40264766; PMCID: PMC12011761.",https://pmc.ncbi.nlm.nih.gov/articles/PMC12011761/,
