Cluster,Gene,Score,Adjusted p-value
0,NKG7,18.8221,9.000025959510318e-75
0,CCL5,17.90976,8.947071484640083e-68
0,ITGAL,14.237176,3.2463256165625355e-42
0,WIPF1,13.414063,2.261198607276676e-37
0,B2M,13.063889,1.9149758887820792e-35
0,IL32,12.52698,1.601704777491309e-32
0,KLRK1,12.18562,9.578854460805163e-31
0,CST7,11.649606,5.210401703579607e-28
0,PYHIN1,11.564846,1.2477059539315114e-27
0,IL2RB,11.3550625,1.2655539726048484e-26
0,EFHD2,11.163327,1.013264109190837e-25
0,TRBC2,11.070825,2.6187965542723747e-25
0,SAMD3,10.992319,5.787558790709715e-25
0,LITAF,10.951101,8.478494778080364e-25
0,SUN2,10.893265,1.4961052322602449e-24
0,PRF1,10.803264,3.754072141770301e-24
0,AHNAK,10.4568405,1.4500236589125555e-22
0,GZMA,10.420686,2.0041899699468272e-22
0,AKNA,10.389832,2.6251286127871003e-22
0,KLRD1,10.356654,3.5294126909593037e-22
0,SYNE1,10.321511,4.850210787470557e-22
0,IKZF3,9.695735,2.5838145443716254e-19
0,SYNE2,9.601385,6.201098849280816e-19
0,ETS1,9.570472,7.840273643901117e-19
0,EVL,9.568565,7.840273643901117e-19
0,TXNIP,9.447234,2.4195185866914146e-18
0,CXCR4,9.440146,2.4930344043954404e-18
0,FGFBP2,9.297431,9.291524672142091e-18
0,BTG1,9.280456,1.0522174632721355e-17
0,RNF213,9.216603,1.8483443245190915e-17
0,ZAP70,8.90985,2.9807141176445177e-16
0,GZMH,8.885727,3.588395546535904e-16
0,ITGB2,8.703402,1.7648100702594545e-15
0,FYN,8.317309,4.7854945718749705e-14
0,LSP1,8.1648855,1.6622020686901634e-13
0,ADGRG1,8.108539,2.573288553276927e-13
0,MYO1F,8.094719,2.7311684315328314e-13
0,TMSB4X,8.094719,2.7311684315328314e-13
0,ARL4C,8.065593,3.3790823511579447e-13
0,MLLT6,7.9681463,7.28126533032008e-13
0,CDC42SE1,7.942057,8.769988190161648e-13
0,TNFAIP3,7.835021,2.018138661673718e-12
0,PNRC1,7.798985,2.564644857654567e-12
0,LPCAT1,7.7920756,2.64869985347542e-12
0,CORO1A,7.6795597,6.1415814229121495e-12
0,CTSW,7.6544237,7.314956788615819e-12
0,SLC9A3R1,7.622081,9.211449190871976e-12
0,IKZF1,7.612193,9.74560448580227e-12
0,IL2RG,7.5016427,2.1915029838582205e-11
0,IER2,7.449167,3.2046568179236246e-11
0,GNG2,7.4440446,3.269781212877898e-11
0,MYO1G,7.364825,5.831605413654685e-11
0,LCP1,7.333494,7.24017415604573e-11
0,MSN,7.177735,2.2483820184514125e-10
0,ADGRE5,7.164988,2.425273189488913e-10
0,CD3G,7.11007,3.4953668739956067e-10
0,ARHGEF1,7.0777273,4.273705866319891e-10
0,SASH3,7.0551524,4.948485071100703e-10
0,PLAAT4,7.049077,5.088627832470519e-10
0,PIK3R1,7.0439544,5.198135251014556e-10
