Cluster,Gene,Score,Adjusted p-value
0,LGALS1,16.521486,1.161692585051497e-58
0,TMSB4X,16.259691,6.631172520295411e-57
0,TAGLN,13.055305,2.7271428707400256e-37
0,TMSB10,13.017585,4.4048109595715e-37
0,S100A6,12.93122,1.2978359137428002e-36
0,MYL9,12.368668,1.2229133914713622e-33
0,CFL1,11.776393,1.2588408901626678e-30
0,SH3BGRL3,11.448005,4.866787816172651e-29
0,OAZ1,10.711106,1.3479576677593002e-25
0,MYL6,10.639847,2.8195863100600868e-25
0,PFN1,10.441061,2.1741759954674692e-24
0,PEA15,10.096035,6.888020910571537e-23
0,S100A10,9.6400795,5.445324479720964e-21
0,CORO1C,9.156603,4.504228965077408e-19
0,DRAP1,8.758934,1.4618768423113852e-17
0,PTMS,8.669365,3.1229340232944844e-17
0,TPM2,8.469367,1.6753211413630015e-16
0,FTH1,8.325148,5.511887007171154e-16
0,UBA52,8.223595,1.2596327793363783e-15
0,PALLD,7.99871,7.429528181894698e-15
0,CSRP1,7.8597164,2.1961052537657246e-14
0,MAP4,7.426738,5.703270165888205e-13
0,CAVIN1,7.1927543,3.0773436858298848e-12
0,MAP1B,6.9652777,1.500757729475468e-11
0,TPM1,6.96022,1.552888507463974e-11
0,SELENOW,6.74442,6.726651251635565e-11
0,HSPB1,6.680936,1.0283735944387703e-10
0,POLR2L,6.6299367,1.439322775440708e-10
0,ANXA2,6.5037065,3.261955077517012e-10
0,PPDPF,6.3580236,8.235662850391648e-10
0,RHOA,6.2579203,1.537955987100621e-09
0,NEK7,6.1462235,3.0573132977277025e-09
0,DYNLRB1,5.9874845,7.98647332609185e-09
0,S100A11,5.9123096,1.2484349214187276e-08
0,CCND1,5.8304043,2.0121028205204244e-08
0,ACTB,5.8154106,2.1926474616829032e-08
0,ANXA5,5.4050474,2.1697132076521728e-07
0,MT2A,5.3972583,2.2624870459039553e-07
0,RHOC,5.264925,4.558582636366479e-07
0,TPM4,5.0599804,1.3087831880275913e-06
0,CAPNS1,4.9987392,1.780321545165832e-06
0,CDC37,4.946193,2.302581754853228e-06
