Cluster,Gene,Score,Adjusted p-value
0,CXCL8,69.238625,0.0
0,FTH1,62.289143,0.0
0,CD83,58.85701,0.0
0,CD68,58.60078,0.0
0,IL1B,56.074432,0.0
0,CD74,55.75026,0.0
0,LGALS3,55.16782,0.0
0,IFI30,54.742043,0.0
0,GRINA,54.6153,0.0
0,PHACTR1,54.236588,0.0
0,PLPP3,52.7515,0.0
0,SGK1,52.371933,0.0
0,NFKBIA,50.71296,0.0
0,CCRL2,49.132954,0.0
0,IER3,48.721478,0.0
0,PLA2G7,48.191826,0.0
0,CSF1,46.933414,0.0
0,BRI3,46.314335,0.0
0,CXCL16,46.30539,0.0
0,CD44,46.267216,0.0
0,MRC1,45.08492,0.0
0,SQSTM1,44.07392,0.0
0,EGR2,42.671005,0.0
0,CYP27A1,42.58041,0.0
0,AQP9,42.34083,0.0
0,SOD2,42.073303,0.0
0,CSTB,42.052387,0.0
0,JUN,41.791504,0.0
0,CH25H,41.72156,0.0
0,LITAF,41.646732,0.0
0,PPARG,41.296093,0.0
0,IL1RN,41.27966,0.0
0,PLAUR,41.247387,0.0
0,VASP,40.525097,0.0
0,ACP5,40.459377,0.0
0,B2M,40.43103,0.0
0,USF2,40.366737,0.0
0,CCL4L2,40.2954,0.0
0,FTL,39.829754,0.0
0,CCL3,39.79862,0.0
0,DDHD1,39.57727,0.0
0,BCL2A1,39.308704,0.0
0,THBD,39.153057,0.0
0,SDC4,38.684307,0.0
0,TANK,38.60244,0.0
0,ATP6AP1,38.47103,0.0
0,CD14,38.240368,0.0
0,NFKBIZ,38.223835,0.0
0,JAML,37.401886,9.242478095693612e-304
0,PNRC1,37.133614,1.9901658852855966e-299
0,GLUL,37.02935,9.403949020228578e-298
0,FCGRT,36.678017,3.831841278658174e-292
0,KDM6B,36.60421,5.664048544287195e-291
0,SLC15A3,36.575493,1.6006539467985016e-290
0,NAMPT,36.547523,4.3983332082573844e-290
0,CCL4,36.54088,5.539114051480352e-290
0,TNFAIP3,36.29476,4.301663286344321e-286
0,PLAU,35.799225,2.4363226669095987e-278
0,ICAM1,35.745792,1.630617385872729e-277
0,MAP3K8,35.70749,6.339611275028527e-277
0,SDCBP,35.679855,1.681726098158817e-276
0,PPP1R15A,35.43287,1.0907528895167265e-272
0,MCL1,35.199165,4.034148991541883e-269
0,CCL3L1,35.0386,1.1270588763382417e-266
0,OLR1,34.990517,6.0127749681155255e-266
0,PSAP,34.988754,6.32849077207458e-266
0,METTL9,34.62205,2.1645077086938953e-260
0,GPX4,34.57268,1.1840436096627194e-259
0,DAB2,34.108814,9.64766069097925e-253
0,CTSD,33.988506,5.7633223748332286e-251
0,ITGAX,33.86474,3.8168699834609715e-249
0,MAFB,33.82148,1.6363939863749068e-248
0,CD69,33.747807,1.9574694231247943e-247
0,PPP1R15B,33.691486,1.297461705619173e-246
0,RASGEF1B,33.326813,2.6112280942929958e-241
0,CXCR4,32.539288,4.651878039652784e-230
0,TRIM25,32.30769,8.332290485519469e-227
0,CREG1,32.06685,1.9202703765756443e-223
0,EPAS1,31.81917,5.109943629702313e-220
0,GLIPR1,31.720201,1.170432138607953e-218
0,GRN,31.714315,1.399749620413615e-218
0,NFKB2,31.277077,1.2964281603421325e-212
0,NINJ1,31.120605,1.6801918955186542e-210
0,CEBPB,31.026752,3.068102039508339e-209
0,TNFRSF14,30.829811,1.3354290130948326e-206
0,NFKBIE,30.543707,8.699858835019182e-203
0,PHLDA1,30.455833,1.2463609878163003e-201
0,ATP2B1,30.408226,5.2429102187175e-201
0,RNF13,30.38377,1.096029887567602e-200
0,CTSS,30.339415,4.1362990036442064e-200
0,CTSH,30.32689,6.010316185021929e-200
0,CLEC4A,30.280298,2.4541600888301667e-199
0,TIMP2,29.944378,5.978262909739475e-195
0,RNF130,29.939741,6.8263038819204264e-195
0,IL1A,29.874643,4.7633544225770315e-194
0,EVI2B,29.772348,1.0036874904617515e-192
0,FCER1G,29.75177,1.841548961216967e-192
0,P2RX4,29.546942,7.948791378365035e-190
0,ZFYVE16,29.287622,1.6091275671076591e-186
0,BTG2,28.826765,1.0506902581706424e-180
0,CTSC,28.53182,4.919680481304702e-177
0,EMP1,28.215328,3.7354571680873936e-173
0,ATP6V1B2,28.211597,4.127937337427691e-173
0,CLCN7,27.852488,9.634266134385283e-169
0,ELMSAN1,27.701567,6.3081596755060405e-167
0,BCL6,27.680094,1.1381997463227597e-166
0,SAMHD1,27.673103,1.3742938905637486e-166
0,GPNMB,27.640896,3.3359039222821924e-166
0,RESF1,27.528814,7.298756395653919e-165
0,HSD17B4,27.462164,4.54944390742906e-164
0,LAMP1,27.450565,6.2263907483804114e-164
0,SERINC2,27.308525,2.9681991750743167e-162
0,NCF2,27.197191,6.075108183368039e-161
0,REL,27.186115,8.13530638436663e-161
0,CTSB,26.967955,3.0007783677417846e-158
0,SLCO2B1,26.790928,3.4551862930116653e-156
0,RALGDS,26.768312,6.278488380206369e-156
0,RELB,26.726944,1.8754648487185726e-155
0,CD52,26.701504,3.68726879001213e-155
0,ANXA5,26.39083,1.3986497084994182e-151
0,IL1R1,26.342098,4.975644989295917e-151
0,HEBP1,26.287449,2.073238764603691e-150
0,CD300A,26.15886,5.992998020687504e-149
0,MAP7D1,26.07088,5.9577540216463826e-148
0,LSP1,25.850948,1.7828437242550123e-145
0,SCARB1,25.799847,6.602746063214067e-145
0,EML4,25.795267,7.401462821156775e-145
0,CD9,25.790218,8.398121302045068e-145
0,CTSA,25.614634,7.526464500156631e-143
0,PIM3,25.50651,1.179819156284805e-141
0,SH3BP5,25.450214,4.943054615831812e-141
0,TXNIP,25.408371,1.4292666508534451e-140
0,SLC3A2,25.33192,9.856521841172049e-140
0,UPP1,25.118458,2.1024882580024518e-137
0,NFE2L2,25.000786,3.96861514200183e-136
0,BACH1,24.944977,1.59239845783364e-135
0,VEGFB,24.887672,6.58300082324691e-135
0,B3GNT5,24.862532,1.2227600696266193e-134
0,MGAT1,24.75865,1.5989861627774421e-133
0,SLC43A2,24.515451,6.239143820336351e-131
0,ETS2,24.478745,1.5200838270992783e-130
0,VIM,24.456741,2.5977195349029707e-130
0,DUSP1,24.424116,5.716071299512652e-130
0,LY96,24.34339,4.06508899836168e-129
0,RIPK2,24.302814,1.0852187568290017e-128
0,SEMA6B,24.155737,3.815362299003042e-127
0,HEXA,23.980757,2.5507916627783614e-125
0,PPT1,23.89311,2.0731514280007457e-124
0,MYD88,23.764864,4.385654941732899e-123
0,LCP2,23.748413,6.426304235750207e-123
0,ZNF267,23.735765,8.654698079110868e-123
0,SIRPA,23.594345,2.435459864741666e-121
0,RBM47,23.586557,2.9187549848148896e-121
0,VAT1,23.571033,4.198701413352841e-121
0,CTSZ,23.52466,1.2424012865655533e-120
0,CXCL2,23.447878,7.475228080714233e-120
0,PIK3AP1,23.36242,5.447081268573364e-119
0,TNFSF13,23.357931,6.032791856726038e-119
0,CNBP,23.255352,6.485142664693405e-118
0,S100A11,23.244282,8.345014570439055e-118
0,ARRDC4,23.200016,2.323843837659811e-117
0,JUNB,23.179573,3.715518341109566e-117
0,HMOX1,23.139326,9.373985875527408e-117
0,KLF6,23.112864,1.7258099478424015e-116
0,TYROBP,22.983479,3.367607098345439e-115
0,RNASEK,22.952381,6.831788136637068e-115
0,ADAMTSL4,22.93035,1.1244529219298663e-114
0,ZC3H12A,22.910116,1.7846345299251573e-114
0,SPIRE1,22.841082,8.614189563967722e-114
0,APLP2,22.731293,1.042346688245819e-112
0,PDXK,22.710758,1.6591394825221095e-112
0,PRDM1,22.468462,3.923598428508224e-110
0,NPC2,22.392738,2.1298187880859686e-109
0,AMIGO2,21.879398,1.7943707354409394e-104
0,MAFF,21.689344,1.112565606673476e-102
0,TMEM251,21.66105,2.052073728077541e-102
0,PTPRE,21.644497,2.918126724454069e-102
0,TLR2,21.63204,3.8140481116821384e-102
0,MAPK6,21.601519,7.370771575393423e-102
0,ZEB2,21.492483,7.672424137749272e-101
0,STEAP4,21.16713,7.807028894358137e-98
0,VWA5A,21.152735,1.0570035351519195e-97
0,CD300LF,21.102514,3.054494503106076e-97
0,ZC3H12C,21.042194,1.087075828304879e-96
0,CXCL3,21.010283,2.1201596215217433e-96
0,CDKN1A,20.98275,3.7677168962670586e-96
0,CD37,20.969213,4.9970202263408236e-96
0,POR,20.782774,2.412369616956098e-94
0,MPP1,20.70456,1.2134819695021507e-93
0,CFLAR,20.682613,1.9048797758684983e-93
0,ADGRE3,20.636362,4.932476150088787e-93
0,ABHD12,20.58498,1.4198200334570253e-92
0,PIK3R5,20.55225,2.7646952036688274e-92
0,TNFAIP2,20.541666,3.4309297777892985e-92
0,CYBB,20.540302,3.521224535026603e-92
0,HCAR3,20.537329,3.728066468454531e-92
0,ABR,20.445711,2.4376068926602316e-91
0,RNF149,20.333569,2.3824485282873225e-90
0,ASAH1,20.326883,2.724683016390759e-90
0,CCL20,20.30651,4.109043640853577e-90
0,FAM89A,20.238953,1.6119741333163975e-89
0,CDC42EP3,20.135815,1.2866184103825753e-88
0,ACSL3,20.042458,8.34969200208084e-88
0,PLK3,19.960228,4.300012575423407e-87
0,SNX8,19.8702,2.5695950067222873e-86
0,NCOR2,19.848448,3.954572679152464e-86
0,RDH10,19.78086,1.494017888304586e-85
0,CD53,19.691374,8.693834265109149e-85
0,PTGER4,19.688232,9.232587872137717e-85
0,CSF2RB,19.594696,5.695865063746406e-84
0,GPCPD1,19.590418,6.183875138536896e-84
0,CIITA,19.483147,5.028216402579275e-83
0,EHD1,19.455708,8.575069963276432e-83
0,PLEKHB2,19.436796,1.2353236924461721e-82
0,JMJD1C,19.37245,4.288783091502658e-82
0,RHOH,19.371603,4.352138060620644e-82
0,ATP2C1,19.340038,8.016158444115872e-82
0,HSD17B14,19.134846,4.064922142703426e-80
0,PDE4B,19.119787,5.40731335252575e-80
0,PICALM,19.080145,1.151323446656942e-79
0,PPIF,19.05529,1.8327211137435315e-79
0,S100A6,18.978401,7.846838787913556e-79
0,TMEM158,18.95457,1.2304387510187894e-78
0,SNX10,18.863232,6.89577869053266e-78
0,SLC11A2,18.746675,6.1390662471494704e-77
0,TNF,18.714573,1.114622257079857e-76
0,DUSP2,18.702162,1.399951891954806e-76
0,C5AR1,18.570892,1.6017074889841904e-75
0,HS3ST2,18.524897,3.7382995494238796e-75
0,CTSL,18.336262,1.1969534446828208e-73
0,ABL2,18.329634,1.3499710201802826e-73
0,MCOLN1,18.319965,1.6049797275333147e-73
0,GBP2,18.300125,2.2997621311221366e-73
0,DDX5,18.2924,2.6459481996849454e-73
0,HEXB,18.246769,6.068015587767714e-73
0,LRPAP1,18.223745,9.231170197489204e-73
0,SOCS3,18.21013,1.180240062328612e-72
0,ACE,18.194614,1.5643539492841337e-72
0,SELPLG,17.97391,8.304267508357654e-71
0,PI4K2A,17.96736,9.331242926732727e-71
0,EMP3,17.820316,1.2766123412241112e-69
0,ST5,17.807444,1.602164370504959e-69
0,SLC11A1,17.756937,3.9162727469185616e-69
0,SLC6A6,17.752441,4.2367232419158773e-69
0,DNASE2,17.662903,2.064040241478298e-68
0,CCL2,17.658403,2.232124668508112e-68
0,KLF10,17.656298,2.3136976067449065e-68
0,IRAK2,17.615808,4.716059385959945e-68
0,ITGA5,17.409372,1.715306036000783e-66
0,ATP6V1F,17.387777,2.493867398795758e-66
0,RHOQ,17.339544,5.754756018036861e-66
0,LPXN,17.335922,6.112530800316451e-66
0,RAB5C,17.251358,2.605715378230839e-65
0,NAGK,17.195414,6.797656157874918e-65
0,CHD2,17.102951,3.3064418455997185e-64
0,GNPTG,17.097197,3.644803117420659e-64
0,REEP3,17.008745,1.6407795783090404e-63
0,NEU1,16.916433,7.835921215866674e-63
0,ADAM17,16.900808,1.0175766176552879e-62
0,MYOF,16.880161,1.4384763913546633e-62
0,CCR1,16.832367,3.1921657410242272e-62
0,TMEM176B,16.81345,4.36031071513889e-62
0,CD63,16.782986,7.2419921933028755e-62
0,TPP1,16.770737,8.878819509897428e-62
0,COLEC12,16.644169,7.28700996900041e-61
0,NCEH1,16.60966,1.2945248497719827e-60
0,CORO1B,16.517826,5.824211768660045e-60
0,SPI1,16.40767,3.5365234750688535e-59
0,SUSD6,16.369408,6.612848193542933e-59
0,N4BP2L2,16.326265,1.328367560823968e-58
0,EGR1,16.309408,1.7487155263398e-58
0,ADAM10,16.24852,4.6918314058764154e-58
0,MAP2K3,16.207384,9.148540515699258e-58
0,NFIL3,16.207012,9.193680819586245e-58
0,PI4KB,16.183107,1.352929244123007e-57
0,EVI2A,16.1248,3.4396730139390844e-57
0,SETDB2,16.07588,7.533482940786831e-57
0,FUCA1,16.049835,1.1364344854437097e-56
0,GDF15,16.02119,1.7913272212109513e-56
