C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score
CPA3,7.4454336,0.0,81.15493,GATA2,4.626989,1.2777896828198642e-181,29.076744,PLPP3,2.5287817,0.0,48.889126,CXCL8,2.8871894,0.0,59.19702,S100A9,5.4463716,0.0,55.551727,FBP1,3.5734794,0.0,53.774788,NUPR1,4.340581,0.0,40.854885,CTSZ,3.3557434,0.0,60.290936,MKI67,4.1084704,0.0,49.36171,C1QB,4.755371,1.1875889934237457e-35,13.221795,CLC,7.4044657,0.0,46.84205,CSF2RB,4.2459455,6.20864568986705e-234,32.956326,RRM2,4.4041834,0.0,48.421154,MPO,7.7375064,0.0,59.077618,CALD1,9.133432,3.1202972486060952e-136,25.233343,ITGAX,3.8974788,1.0323225804100053e-146,26.17084,EMP1,3.6424966,1.0565945723063858e-220,32.01947,TRBC2,9.398023,2.984490084192238e-11,7.965128,ITGB3,7.928371,3.2851793332863897e-24,11.066846,HBB,11.650405,9.896345012177733e-13,8.376057
LAPTM5,2.4232786,0.0,78.893074,HDC,4.162528,2.388715289571344e-165,27.734383,GRINA,1.3963844,0.0,47.999924,IL1RN,3.6935008,0.0,56.826576,S100A8,5.9181466,0.0,55.341724,CXCL16,2.6826758,0.0,51.68864,CES1,3.7436721,3.127363627352726e-281,36.088314,APOE,4.488199,0.0,58.968773,TPX2,3.808721,0.0,44.08729,CEP55,3.8539143,4.5128684972604326e-32,12.531957,CD24,3.5530305,0.0,38.999123,HDC,5.260338,3.2987951217536175e-210,31.234293,TYMS,3.6496196,0.0,45.806026,AZU1,7.1119742,0.0,58.84008,TPM1,5.0607266,1.1289945371907068e-117,23.447708,MT-ND4,3.929345,1.4579712590166728e-110,22.68984,CCL3,3.4121256,1.9536971260356046e-186,29.431671,CYTIP,3.3130844,3.194855893522692e-11,7.8704476,THBS1,7.594194,3.444821261744664e-24,11.000262,HBD,11.999478,8.180673142691012e-10,7.4540987
GATA2,6.271353,0.0,77.84191,CPA3,4.788121,2.388715289571344e-165,27.720411,CD68,2.1252246,0.0,47.777073,IER3,2.5707924,0.0,54.401577,PADI4,5.0255423,0.0,53.79308,CCL18,3.7996209,0.0,50.236145,APOE,3.4712481,1.6147224345619025e-257,34.531746,CCL18,4.7050424,0.0,57.20161,S100A9,4.3658247,0.0,43.63229,CTSZ,2.6366177,2.862299723100981e-31,12.3486805,TMSB4X,1.4054856,0.0,38.935993,GATA2,5.175704,4.291451314460218e-199,30.391474,MKI67,3.6292696,0.0,45.28983,ELANE,7.3945274,0.0,58.31325,SERPINE1,6.360994,1.1289945371907068e-117,23.43516,MT-ND3,4.22236,4.572143603318981e-105,22.114828,CD74,2.9629486,2.684252204071097e-178,28.774652,RESF1,3.1658773,4.215569980980508e-09,7.009726,CAVIN2,7.288768,4.597154889914082e-24,10.937503,LBH,5.7132382,1.338730443467528e-08,6.948121
HPGD,6.527955,0.0,76.849106,MS4A2,4.014331,2.3781879356240736e-158,27.123089,LGALS3,1.862755,0.0,46.29117,CSF3R,2.8202255,0.0,53.739704,FCAR,3.2533867,0.0,48.76724,CTSH,2.6961012,0.0,49.046547,GPNMB,3.3316548,1.7222400930326095e-250,34.051857,NUPR1,4.1285973,0.0,55.876686,CEP55,3.8044288,0.0,42.665108,CCL18,3.8592405,2.862299723100981e-31,12.328883,EPX,8.635616,2.0955398010365022e-271,35.43049,CLC,6.1487827,4.148071679945226e-196,30.15517,HIST1H1B,4.087509,0.0,44.608566,SERPINB1,3.0555336,0.0,56.599323,FN1,8.079789,2.5276160024019003e-115,23.19116,APOE,3.4941561,9.954733165529168e-103,21.8614,LHFPL2,3.0470705,3.819011682967028e-176,28.592,TCF7,8.6483555,6.070316027527331e-09,6.933724,RAB27B,5.8346825,3.593525193600515e-23,10.722874,MICALL2,4.3689933,1.8021570757678432e-08,6.8801265
FXYD5,2.2974315,0.0,74.21755,TUBB,3.4157429,1.3082990656686018e-152,26.621246,CSTB,2.0891013,0.0,46.101376,BRI3,1.7792282,0.0,51.267178,FPR2,3.409607,0.0,48.236668,LYZ,2.8941054,0.0,48.65947,VIM,1.7549542,6.219252173911019e-240,33.31879,CD163,4.204993,0.0,55.635715,S100A8,4.692689,0.0,42.50768,MKI67,3.4879217,1.155864332705287e-30,12.197728,PRG2,6.4520464,1.704874753609696e-268,35.23582,BHLHE40,2.161621,3.407730173506233e-148,26.239485,MCM7,3.2563918,0.0,41.623325,PRTN3,6.9703555,0.0,56.581783,SPARC,4.7214313,4.093792360774339e-115,23.160784,MT-ATP6,3.8304899,1.7541234919540787e-98,21.406424,CXCL2,2.9943743,8.875415087337187e-172,28.230732,TRAC,9.983408,3.3090471988125067e-08,6.6412168,PPBP,12.438199,4.2083150005008086e-21,10.251627,PGRMC2,2.6774724,2.3025176657375123e-08,6.805794
SIGLEC6,5.3928757,0.0,73.731346,FCER1A,3.906718,1.3082990656686018e-152,26.616776,IFI30,2.1105702,0.0,44.92882,CCL4L2,3.6604671,0.0,48.84374,S100P,3.216648,0.0,47.84823,TFRC,2.6600213,0.0,48.27134,TXNRD1,2.202937,3.3260035962129884e-221,31.99481,CTSB,2.7912195,0.0,54.50571,HMGB2,2.7474854,0.0,41.876427,CTSB,2.4930933,3.223998989894817e-30,12.098944,IKZF2,4.6689324,2.4337521082007217e-190,29.663256,TXNIP,2.6342423,4.470117095449236e-138,25.330254,CEACAM6,4.1626143,0.0,41.600266,CST7,4.2306337,0.0,56.226784,FSTL1,8.690885,7.653396163738001e-112,22.82585,MT-ND6,4.736378,6.635874159761785e-85,19.88161,THBD,3.0721483,7.397342348983999e-171,28.149149,EVL,3.0262115,9.290443674101408e-08,6.448403,LTBP1,8.637019,4.386091729273772e-21,10.229986,GATA1,4.875863,2.3025176657375123e-08,6.788298
AHR,3.8885684,0.0,71.68656,HPGD,3.9889503,5.7329751730048427e-151,26.468763,CYP27A1,2.3152988,0.0,41.887314,LSP1,2.2592785,0.0,45.963654,MNDA,2.6408677,0.0,47.014935,SAMHD1,2.4595935,0.0,48.24746,CALU,2.266257,1.3663973106275534e-208,31.06325,MARCO,4.1291823,0.0,53.37897,PLK1,4.98151,0.0,41.15163,C1QC,3.7280705,1.449680819026718e-27,11.567681,RNASE2,4.1765423,1.311838428335042e-166,27.750027,AKAP12,4.6949844,5.397970774375294e-131,24.667507,MYBL2,3.870371,0.0,41.317295,SRGN,3.8949382,0.0,55.79416,MMP2,4.5540724,9.86941781986835e-112,22.807983,PLEC,2.8201468,2.1559970660228805e-82,19.583307,CXCL3,3.4029202,1.598473203235616e-169,28.03441,WIPF1,2.1946764,5.174179932834106e-07,6.1391125,NRGN,8.5893545,4.970934883411442e-21,10.202901,FADS2,2.1808643,2.3025176657375123e-08,6.775795
CLU,4.0812716,0.0,71.175186,CLU,3.086063,6.699164399297594e-144,25.842377,CD74,2.2190187,0.0,40.13174,FCAR,2.6057737,0.0,45.76985,TSPAN2,3.4722314,0.0,46.94396,ENG,2.3140032,0.0,47.24039,LGALS3,1.9741855,2.4931759434873404e-195,30.059216,CTSL,3.1881409,0.0,53.209408,CENPE,3.7369883,0.0,41.111984,APOE,3.2107074,1.449680819026718e-27,11.5620775,CST7,2.2764947,1.619262151851473e-157,26.981787,SOCS2,3.8501248,1.2954537118631069e-129,24.533754,TK1,3.8769321,0.0,41.09375,NUCB2,3.6862104,0.0,54.05691,IGFBP7,5.6277943,1.056782177969288e-110,22.698122,ALOX5,1.8644443,6.86866992062058e-75,18.672058,SOD2,2.4567337,4.873809035464957e-169,27.989902,CXCR4,2.701773,6.387479375851801e-07,6.0665307,ITGA2B,5.6853604,2.6816594219799066e-20,10.024762,ANK1,7.749706,2.3025176657375123e-08,6.771632
SAMSN1,3.069006,0.0,70.41766,TYMS,3.7123086,3.872577269722215e-141,25.590876,BRI3,1.2125058,0.0,39.552162,STEAP4,3.832378,0.0,45.08448,CKAP4,3.5015848,0.0,46.3346,IL1A,2.8506327,0.0,46.701694,LAMP1,1.4717569,2.89336223815763e-193,29.898144,GPNMB,3.7904768,0.0,52.81333,NUSAP1,3.4055715,0.0,40.726456,CDK1,3.62939,1.3860883748121712e-26,11.356319,SRGN,1.3564589,7.554781927158392e-153,26.576965,PLPP1,4.5403576,3.8908553138664833e-126,24.201376,LMNB1,2.877475,0.0,40.379475,RNASE2,4.23301,0.0,50.796978,MAP1B,9.143649,4.0267001367195605e-103,21.902676,LENG8,2.3174517,2.240128055399479e-70,18.09733,LYZ,2.8863137,1.1330664183567445e-167,27.873194,TC2N,9.629543,1.0316918081796256e-06,5.980452,C2orf88,11.868922,3.26951739465431e-20,9.993499,EEF2,1.5970263,2.4909727434482323e-08,6.746422
VWA5A,4.0913854,0.0,70.10098,MKI67,3.3617203,1.35864698741492e-138,25.357048,CXCL8,1.6463478,0.0,38.813793,PLAUR,1.7573322,0.0,44.35685,HK3,2.7957556,0.0,45.8677,BHLHE41,2.6931074,0.0,46.150063,HS3ST2,2.6550303,9.901769933966944e-190,29.620186,C1QB,5.3537464,0.0,52.10519,MNDA,2.4180686,0.0,40.651085,C1QA,3.1820848,2.3374442194790315e-26,11.301314,ALAS1,2.7772517,1.1477997552360516e-139,25.402796,MS4A3,4.0213976,1.1597623665872882e-123,23.961243,ZWINT,3.3569207,0.0,39.10912,SPN,2.314576,0.0,49.971085,HTRA1,9.492746,3.348522685334313e-101,21.696327,ZFYVE16,2.4600682,3.4808333789101775e-69,17.943548,IL1B,3.0288076,3.3016179482542586e-162,27.414824,SELL,5.3702545,1.03194252835067e-06,5.9709287,RUFY1,4.1388583,6.785759841764981e-20,9.910364,CENPH,3.7898438,6.426773396434652e-08,6.5716543
