C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score,C20_names,C20_logfold,C20_pvals_adj,C20_z_score,C21_names,C21_logfold,C21_pvals_adj,C21_z_score,C22_names,C22_logfold,C22_pvals_adj,C22_z_score,C23_names,C23_logfold,C23_pvals_adj,C23_z_score
AZU1,6.6481934,0.0,96.296074,PADI4,4.7411766,0.0,81.93466,PLK1,4.642572,0.0,40.873154,RRM2,3.9992871,0.0,67.24113,CLC,7.4309964,0.0,69.24468,CSF3R,2.9058237,0.0,68.10035,CXCL8,3.0297527,0.0,76.682205,S100A9,5.1558905,0.0,64.29851,GATA2,4.8556657,0.0,43.034473,CPA3,7.226066,0.0,95.92578,HPGD,5.243008,6.149736273837398e-215,31.602596,CSF2RB,4.0588956,0.0,45.397263,NUPR1,4.651212,0.0,47.982666,CTSZ,3.7951992,0.0,76.151115,CSTB,3.0159745,5.650212422974668e-87,20.256317,EMP1,4.0497155,0.0,46.814964,CXCL16,3.3501952,0.0,81.67013,CD68,2.7293978,1.2592483773766715e-131,24.810165,GSN,2.549316,6.717361044997198e-31,12.37178,ITGB3,7.7229643,4.778545985742859e-63,17.333187,HBB,11.737026,3.0327566344413968e-25,11.181354,CALD1,9.213434,0.0,39.059303,ITGAX,3.863595,1.039497301801181e-143,25.85218,TRBC2,9.153437,1.3497112769820985e-28,11.938401
ELANE,6.920332,0.0,95.802635,S100A9,5.2290487,0.0,80.85804,TPX2,3.4959607,0.0,39.014954,HIST1H1B,4.112191,0.0,65.51641,EPX,8.793001,0.0,57.752567,IL1RN,3.7240937,0.0,65.2212,BRI3,1.5552415,0.0,57.62442,S100A8,5.409202,0.0,64.11874,CPA3,5.2578387,0.0,42.630566,LAPTM5,2.387071,0.0,92.40819,KIT,5.044854,2.8006693818145007e-214,31.532682,HDC,5.403924,0.0,44.156143,CES1,4.260997,0.0,45.15292,APOE,5.0971265,0.0,74.5903,CD74,3.5838761,2.8717306804231474e-85,20.007225,CXCL2,3.5264184,0.0,44.25414,CTSH,3.3365932,0.0,79.27787,CTSH,2.907774,3.336430404165187e-127,24.368511,TMSB10,2.3642194,2.952038280036705e-25,11.219662,ITGA2B,5.9948697,5.886788505584e-57,16.452295,PRKAR2B,5.4636145,1.4424283088728744e-23,10.78646,SERPINE1,7.4116063,0.0,38.231678,MT-ND4,3.811189,1.2298109071338711e-135,25.107866,TCF7,8.952712,1.6669541860564753e-22,10.606973
MPO,7.118869,0.0,95.516495,S100A8,5.4481897,0.0,79.95281,MKI67,3.3494856,0.0,38.539467,TYMS,3.332598,0.0,62.728153,PRG2,6.8935304,0.0,57.56262,CXCL8,2.9069579,0.0,63.63238,PHACTR1,2.1110303,0.0,56.155884,MKI67,3.43112,0.0,58.57719,HDC,4.4927807,0.0,41.88442,GATA2,5.902395,0.0,90.202866,SIGLEC6,4.4095945,5.375001930269113e-213,31.426056,GATA2,5.376877,0.0,43.762306,GPNMB,4.0100207,0.0,44.97895,CCL18,5.5491834,0.0,74.23372,FTL,2.031961,1.0911093017156623e-84,19.926165,CD74,3.4272728,0.0,42.977474,CD68,2.9008043,0.0,78.93982,CSTB,2.6729195,1.1708375845438527e-124,24.110443,CTSZ,2.3123093,4.113236721488671e-21,10.303077,THBS1,7.3552966,5.886788505584e-57,16.440771,LBH,6.2455707,1.5577015282798915e-22,10.542444,TPM1,4.840194,1.3463091690031745e-297,37.10618,MT-ND3,4.0607176,4.9588187022307466e-127,24.295374,CYTIP,3.101029,4.319086031911501e-22,10.4521
PRTN3,6.435309,0.0,91.40791,CKAP4,3.483386,0.0,72.00743,CENPE,3.5575254,0.0,37.793766,MKI67,3.313872,0.0,61.61893,CD24,3.2378447,0.0,56.97985,IER3,2.5104053,0.0,60.25345,IER3,2.030078,0.0,55.843517,PADI4,3.7053251,0.0,57.82587,MS4A2,4.3580656,0.0,41.153255,HPGD,5.9574842,0.0,88.02019,TIMP1,4.4410977,4.496540192347948e-211,31.275833,CLC,5.482823,0.0,40.128315,APOE,3.8706872,0.0,42.72627,NUPR1,4.973929,0.0,73.83943,CD68,2.5205998,8.877440914560745e-69,17.954586,CCL3,3.8077633,0.0,42.911785,CYP27A1,3.7357678,0.0,78.00534,FBP1,3.33028,2.073764264101146e-124,24.074837,LPL,5.381219,1.4337423839673394e-18,9.69483,CAVIN2,6.9907866,7.184745242933965e-57,16.411236,HBD,11.364528,1.3476166921963226e-21,10.316055,SPARC,5.176539,2.542060482615374e-291,36.707115,MT-ATP6,3.6893277,5.079374611729538e-116,23.216673,EVL,3.2674797,6.17116180088627e-21,10.137812
SRGN,3.6693625,0.0,91.02788,HK3,2.8303568,0.0,69.4881,SRGN,2.8978162,5.165840492070548e-286,36.366753,CEACAM6,3.920074,0.0,60.90136,TMSB4X,1.2803122,0.0,54.160854,STEAP4,3.7699997,0.0,60.010384,FTH1,1.9216753,0.0,54.8702,TCN1,3.3659792,0.0,54.316498,HPGD,4.4183965,0.0,40.702564,FXYD5,2.3181314,0.0,87.75283,CMIP,3.1773517,2.0380707583443955e-195,30.094986,BHLHE40,2.186706,3.40496854046289e-286,36.378204,CSTB,2.617686,0.0,40.649815,CTSB,3.3955052,0.0,72.68582,LGALS3,2.5539715,5.7244264328818435e-68,17.83959,LYZ,3.1137562,0.0,42.54282,CSTB,2.9564245,0.0,77.76767,TUBA1B,2.7025862,6.828366436430055e-122,23.816467,CD74,2.960066,1.0690758798156656e-17,9.46427,RAB27B,5.8341913,1.8524820573809715e-56,16.340034,ANK1,7.859306,2.6951073157176512e-21,10.23788,FN1,8.28505,3.1786543104849713e-289,36.569336,APOE,3.7021403,2.9126979115636366e-107,22.3254,TC2N,9.585923,8.803644626330605e-18,9.350013
SERPINB1,2.8670352,0.0,90.97139,TSPAN2,3.094411,0.0,69.20372,CEP55,3.3094409,4.8588076381199303e-281,36.04567,HIST1H2BH,3.5201285,0.0,58.262615,IKZF2,4.8312554,0.0,46.74213,LSP1,2.5089364,0.0,59.80293,NFKBIA,1.734984,0.0,52.89192,FPR2,2.8834898,0.0,54.030697,FCER1A,4.212879,0.0,39.725296,SIGLEC6,5.025375,0.0,86.29247,GATA2,4.711838,5.4982959314399893e-188,29.51544,AKAP12,4.8099666,8.99668270904528e-281,36.028587,VIM,1.9588636,0.0,40.643158,CD163,4.708232,0.0,71.285904,CAPG,2.1598282,4.026274541311048e-66,17.586657,CXCL3,3.9125702,0.0,42.267677,TFRC,3.0937898,0.0,76.37137,CCL18,3.825092,6.828366436430055e-122,23.816267,CD86,4.3973875,1.5833311379045538e-17,9.403977,LTBP1,8.049044,5.771097348390804e-56,16.259434,REXO2,3.566644,3.2473045328114456e-20,9.983729,DKK3,10.655463,3.8710092621631e-279,35.924107,MT-ND6,4.843231,2.784703031121549e-104,22.013124,CXCR4,2.57073,1.8257330714030463e-17,9.266785
CST7,3.678021,0.0,88.69027,S100P,2.8906362,0.0,68.54672,CEACAM6,3.775604,5.386154041673848e-279,35.910625,LMNB1,2.647407,0.0,57.08543,RNASE2,4.105134,0.0,45.420822,FCAR,2.7304246,0.0,58.28705,GRINA,1.3517244,0.0,52.341576,MMP8,4.177807,0.0,53.36533,LAPTM5,1.7115337,0.0,38.681553,VWA5A,4.039917,0.0,82.689224,ID2,3.1471353,3.1895002682953104e-183,29.13661,TXNIP,2.5785017,1.639674078753449e-268,35.232555,CD68,2.5419705,0.0,40.32657,GPNMB,4.643333,0.0,71.18352,ANXA2,3.0529242,2.8327429957955733e-64,17.329454,SOD2,2.7293139,0.0,41.690384,SAMHD1,2.9097586,0.0,76.31785,CEP55,3.5739605,2.465516779258475e-121,23.755917,CXCL16,2.3632653,1.9271603099638394e-17,9.367025,NRGN,8.234327,1.2387380015788388e-54,16.0609,FADS2,2.2478113,1.0067638122248265e-19,9.861309,FSTL1,9.049705,1.3314676902568588e-276,35.756977,LENG8,2.2046566,6.947871106970205e-82,19.508915,WIPF1,2.1160643,2.6721441767985683e-17,9.220558
NUCB2,3.3560498,0.0,84.953445,S100A12,4.8490133,0.0,68.361984,HMMR,3.5836008,2.71926958649015e-262,34.820206,SRGN,2.620399,0.0,56.358395,PRG3,8.317449,0.0,39.42101,BRI3,1.8245009,0.0,57.985325,CD83,1.9561874,0.0,52.234165,PGLYRP1,3.7168224,0.0,52.34739,ITGA2B,3.9923472,0.0,38.140167,AHR,3.7323055,0.0,82.387184,RGS2,4.403905,2.17677897329538e-176,28.587423,CPA3,4.1853642,2.5583557466771863e-265,35.019608,LGALS3,2.352263,0.0,39.137882,CTSL,3.6562383,0.0,69.23389,VIM,1.7737865,9.371001821002249e-57,16.288458,CD44,2.0197723,0.0,41.313343,FBP1,4.0397887,0.0,75.31296,C1QC,3.987058,6.632709690391294e-121,23.708673,SAMHD1,2.2859592,2.2955979213159562e-17,9.334401,PRKAR2B,7.0024366,1.2313632989565045e-52,15.764644,GATA1,4.774617,2.640945865100114e-19,9.755195,MMP2,4.653536,1.3882130127296604e-274,35.62314,PLEC,2.6674519,1.701206479539009e-76,18.853922,TRAC,9.255507,6.593713217512159e-17,9.103437
SLPI,3.9698775,0.0,81.86297,FCAR,2.8669004,0.0,68.08519,CENPF,3.5396001,2.305625312616747e-254,34.28652,MYBL2,3.3954148,0.0,56.18253,CST7,2.0689886,0.0,39.1384,C5AR1,2.4376025,0.0,56.408607,IFI30,2.078815,0.0,51.610096,LCN2,4.3691945,0.0,51.877018,TUBB,3.2067149,0.0,38.085686,SEMA7A,4.926241,0.0,82.19372,DCBLD2,4.2990456,6.0094268564402905e-173,28.305098,SEMA7A,3.8529398,1.4682941199734724e-257,34.499645,PLPP3,2.8505256,0.0,38.902172,EPHX1,3.6036131,0.0,68.540375,SAMHD1,2.6973522,1.0558650323777135e-56,16.278553,THBD,3.4130378,0.0,41.150703,LYZ,3.0755186,0.0,73.59143,MKI67,3.1559954,3.0572418542406096e-119,23.541843,ZNF385A,4.128974,4.0503468684926787e-17,9.257952,PPBP,11.616739,1.1677714538398384e-51,15.614362,EIF1AY,3.4649725,1.6427842827244936e-18,9.552019,HTRA1,9.596125,4.745583040703494e-273,35.520622,ALOX5,1.7466242,2.412742115679348e-75,18.709578,RESF1,2.660153,8.494471660702e-17,9.07145
BEX1,4.0484295,0.0,80.74816,FPR2,3.0094101,0.0,67.8644,SLPI,3.15428,1.8723932869040957e-253,34.221985,SLPI,3.1812134,0.0,55.658142,ALAS1,2.818508,0.0,38.0477,MXD1,2.4206026,0.0,55.493923,IL1B,2.5085683,0.0,49.362682,HMGB2,2.3956034,0.0,51.837326,CRIP1,3.4270136,0.0,38.00114,SAMSN1,2.8642564,0.0,82.141235,PRG2,4.94696,9.866803075374116e-168,27.874376,CYTIP,2.859882,1.875010175101791e-255,34.356133,CTSB,2.3399408,0.0,37.996387,ADTRP,3.852375,0.0,68.32128,TMSB10,1.8999583,6.833848458670631e-51,15.415637,IL1B,3.3663542,0.0,40.510483,CD74,3.407283,0.0,73.34388,CD52,2.294629,1.4678132670889177e-118,23.470747,FBP1,3.7077422,4.0503468684926787e-17,9.250236,PF4,13.159858,8.015530855376295e-51,15.484238,LEPR,5.437487,2.7204297167515766e-18,9.492447,PRSS23,8.992896,8.881731155331247e-271,35.370163,CSF1,2.2461412,7.81903009579295e-72,18.258438,SELL,5.1055884,4.3961228556307654e-14,8.296778
