Cluster,Gene,Score,Adjusted p-value
0,NKG7,18.449696,9.451081543194863e-72
0,CCL5,17.810158,5.311688683489386e-67
0,ITGAL,14.099481,2.298384116950433e-41
0,WIPF1,12.958003,9.538049456941679e-35
0,IL32,12.299639,3.2794540308401114e-31
0,B2M,12.27339,3.780944026015047e-31
0,KLRK1,12.119518,2.1433692267373667e-30
0,PYHIN1,11.806846,8.106003830800796e-29
0,CST7,11.446901,4.8802659879577595e-27
0,SAMD3,11.215945,6.137337866180473e-26
0,IL2RB,11.162972,1.0139956457355906e-25
0,EFHD2,10.992353,6.247028566157888e-25
0,SUN2,10.923346,1.2359633380971739e-24
0,LITAF,10.886585,1.7193249628579597e-24
0,TRBC2,10.816508,3.454685297031826e-24
0,PRF1,10.76502,5.6716847752715486e-24
0,GZMA,10.521177,7.315865519534674e-23
0,AKNA,10.380252,3.0535985255548984e-22
0,KLRD1,10.306968,6.216631470966879e-22
0,AHNAK,10.248175,1.0867779542599155e-21
0,SYNE1,10.128391,3.547902976053944e-21
0,SYNE2,9.679782,3.01064585343431e-19
0,IKZF3,9.663985,3.3604977910475488e-19
0,ETS1,9.632451,4.379711465794031e-19
0,RNF213,9.53274,1.104346600296048e-18
0,EVL,9.308435,8.992736541781542e-18
0,FGFBP2,9.261579,1.3445895852861494e-17
0,BTG1,9.163234,3.2418734243921225e-17
0,CXCR4,9.132947,4.142782327834439e-17
0,ZAP70,8.856619,4.890554341061009e-16
0,GZMH,8.854422,4.890554341061009e-16
0,TXNIP,8.794085,8.122677875912594e-16
0,ITGB2,8.711002,1.6450072852212739e-15
0,FYN,8.395597,2.4571145376864374e-14
0,MYO1F,8.300282,5.34844051261553e-14
0,ARL4C,8.28882,5.726176418323988e-14
0,CDC42SE1,8.175688,1.432987295340762e-13
0,LSP1,8.006732,5.586982810967362e-13
0,LPCAT1,7.994261,6.024013687746988e-13
0,ADGRG1,7.92555,1.0234311671135585e-12
0,TNFAIP3,7.8397355,1.984709115227462e-12
0,TMSB4X,7.775063,3.16071885332435e-12
0,MLLT6,7.7422223,4.001679819579875e-12
0,CORO1A,7.734799,4.147960860693973e-12
0,SLC9A3R1,7.690496,5.620318483188732e-12
0,ADGRE5,7.56519,1.4245493812598645e-11
0,CTSW,7.463222,3.043428124953939e-11
