Cluster,Gene,Score,Adjusted p-value
0,CPA3,29.30686,1.5334767676384234e-184
0,FXYD5,26.68577,6.224839639850206e-153
0,SIGLEC6,26.43551,3.2278082678482215e-150
0,CLU,25.618893,4.2125915383114116e-141
0,GATA2,25.61052,4.2125915383114116e-141
0,LAPTM5,25.555752,1.4282175422439822e-140
0,FCER1A,25.447708,1.9332554855868e-139
0,SEMA7A,25.040838,4.9655765359856686e-135
0,HDC,24.900766,1.466484209595277e-133
0,SAMSN1,24.623241,1.2879291337873147e-130
0,VWA5A,24.116074,2.7872077442986187e-125
0,HPGD,23.75366,1.5174957920592535e-121
0,ITGA2B,23.378244,9.896649364627794e-118
0,GLUL,23.271326,1.1177599966664485e-116
0,CREM,22.656273,1.2870020010683848e-110
0,HPGDS,22.196625,3.3472918211967587e-106
0,KIT,21.908735,1.846556765895761e-103
0,NCOA4,21.7375,7.455438377040889e-102
0,MS4A2,21.626028,8.035885746616545e-101
0,RASSF5,21.558569,3.315022258106835e-100
1,CSF2RB,12.653611,1.9320274755415843e-32
1,CYTIP,11.802309,3.263735519882021e-28
1,CLC,11.772419,3.263735519882021e-28
1,GATA2,11.081758,6.953602336007034e-25
1,TXNIP,10.665666,5.328415128041336e-23
1,HDC,10.498915,2.633319897746655e-22
1,AKAP12,9.940879,7.139257754705744e-20
1,PLPP1,9.218935,4.9325220079706675e-17
1,EMP3,9.192313,5.793517456274445e-17
1,BHLHE40,9.172346,6.43764228605779e-17
1,CXCR4,8.847738,1.0093236514904122e-15
1,CLU,8.525792,1.4443470568128507e-14
1,GCSAML,8.412104,3.519896410432392e-14
1,MS4A3,8.386329,4.1223661758467404e-14
1,TMEM154,8.243053,1.3197561874975852e-13
1,PRNP,8.087979,3.629140501693832e-13
1,LIMD2,7.98615,7.866709354675201e-13
1,FCER1A,7.9060416,1.4130687167761346e-12
1,STK17B,7.8786936,1.6616465788054934e-12
1,RFLNB,7.838216,2.23334052915438e-12
2,CXCL8,25.865108,2.974950279158096e-143
2,IL1RN,22.078005,4.6498232889859775e-104
2,IER3,21.655485,3.2523906146725585e-100
2,CCL4L2,20.922684,1.5046224097464053e-93
2,BRI3,20.030085,1.0890654257498394e-85
2,FCAR,19.974976,2.7402491703158866e-85
2,NFKBIA,19.75189,1.9960507181696833e-83
2,CSF3R,19.24647,3.415558318531898e-79
2,SOD2,19.055344,1.1919235751644794e-77
2,CCL3L1,18.615107,4.382612757539941e-74
2,MCL1,18.154312,1.9513112809278643e-70
2,PHACTR1,17.827955,6.4615058666568655e-68
2,ATP2B1,17.771236,1.64210410259638e-67
2,NAMPT,17.547771,7.989695815509478e-66
2,CD44,17.348623,2.435400657323139e-64
2,MARCKS,17.293388,5.9623401543182635e-64
2,PPP1R15A,17.234774,1.5488953297471051e-63
2,LSP1,17.070902,2.4551074609597957e-62
2,CD14,17.03433,4.348613306484704e-62
