Cluster,Gene,Score,Adjusted p-value
0,CTSZ,48.855835,0.0
0,MARCO,47.90253,0.0
0,CD163,44.82435,0.0
0,APOE,44.631947,0.0
0,C1QB,43.116806,0.0
0,IRF8,42.89247,0.0
0,CTSL,41.034588,0.0
0,NUPR1,40.718662,0.0
0,CCL18,40.047134,0.0
0,MS4A7,38.82102,0.0
0,CD74,38.33295,0.0
0,C1QA,38.1733,0.0
0,CTSB,38.15625,0.0
0,NRP2,37.716457,0.0
0,LIPA,37.41502,2.6842806610368057e-303
0,GPNMB,36.98959,1.9025289993659244e-296
0,IFI27,36.971592,3.4859098896014866e-296
0,PSAP,36.917645,2.4193086213963516e-295
0,ADTRP,36.59361,3.439938583449308e-290
0,SPARC,36.57379,6.750244799694955e-290
0,CES1,36.44855,6.245011194407513e-288
0,BHLHE41,34.218304,1.0619120811808978e-253
0,IL7R,33.400257,1.0685949175754483e-241
0,EPHX1,33.09275,2.846896907471263e-237
0,LGALS3BP,33.085857,3.4337620898440335e-237
0,A2M,32.584488,4.731256649523502e-230
0,TFRC,32.56776,7.860731096356986e-230
0,ANXA2,32.26889,1.2344356749804091e-225
0,MMP2,31.866274,4.884397075551332e-220
0,SLC15A3,31.835693,1.2518085766865341e-219
0,ADA2,31.74497,2.1731245795336912e-218
0,C1QC,31.666828,2.513899220435133e-217
0,SCD,31.439886,3.1621637589752347e-214
0,LGMN,31.253405,1.067371748715172e-211
0,S100A10,31.148617,2.7357697351824088e-210
0,CPVL,30.871473,1.4493028669666058e-206
0,PLBD1,30.824337,6.045230271974841e-206
0,LHFPL2,30.74128,7.609737062782298e-205
0,RASSF4,30.257166,1.94701342297655e-198
0,PECAM1,29.866611,2.415272545701594e-193
0,CTSS,29.771345,4.048969008157596e-192
0,SAMHD1,29.753141,6.799070162435804e-192
0,MS4A4A,29.38992,3.106843418629829e-187
0,CST3,29.37547,4.644607442397584e-187
0,TIMP2,29.095043,1.6665457111441997e-183
0,ATP6V0D2,28.638308,8.81165220285834e-178
0,FBP1,28.532463,1.7837735178887264e-176
0,SCIMP,28.483599,7.045443892067498e-176
0,FABP3,28.423351,3.8402551184650496e-175
