Cluster,Gene,Score,Adjusted p-value
0,NKG7,18.380384,3.399569978847825e-71
0,CCL5,17.88496,1.3919710294407611e-67
0,ITGAL,14.030441,6.098869659547195e-41
0,WIPF1,12.85621,3.576411706872962e-34
0,B2M,12.286828,3.84278637185475e-31
0,IL32,12.241412,5.609789759694764e-31
0,KLRK1,12.074849,3.692834085066266e-30
0,PYHIN1,11.761973,1.3806719473267e-28
0,CST7,11.398413,8.52715990035089e-27
0,SAMD3,11.173407,9.917848578947929e-26
0,IL2RB,11.12059,1.632082751620881e-25
0,EFHD2,11.085063,2.2265365547585546e-25
0,PRF1,10.872551,2.1597476938262065e-24
0,SUN2,10.852597,2.495394534400075e-24
0,LITAF,10.826365,3.1023611902312905e-24
0,TRBC2,10.754364,6.3668975319066274e-24
0,GZMA,10.483114,1.0832179745716521e-22
0,AKNA,10.478733,1.0832179745716521e-22
0,KLRD1,10.271136,9.018954925011778e-22
0,AHNAK,10.184746,2.0903594589911234e-21
0,SYNE1,10.091902,5.149084762684331e-21
0,SYNE2,9.631706,4.765306807229218e-19
0,IKZF3,9.628154,4.765306807229218e-19
0,ETS1,9.5791855,7.345377103856969e-19
0,RNF213,9.47971,1.8382908499328902e-18
0,EVL,9.392076,4.077999907747622e-18
0,FGFBP2,9.229362,1.8173209125304458e-17
0,BTG1,9.140425,4.004153014201788e-17
0,CXCR4,8.916308,2.996116679849325e-16
0,GZMH,8.823642,6.628213476567128e-16
0,ZAP70,8.820444,6.628213476567128e-16
0,TXNIP,8.698645,1.8916860931755104e-15
0,ITGB2,8.658321,2.6147606250107737e-15
0,FYN,8.356578,3.4224566631515924e-14
0,CDC42SE1,8.2922735,5.721222622832534e-14
0,MYO1F,8.250293,7.910471768062273e-14
0,ARL4C,8.242476,8.216659573020528e-14
0,LPCAT1,7.954588,8.524336585782444e-13
0,LSP1,7.9360547,9.64526323841663e-13
0,TMSB4X,7.895317,1.304768475458329e-12
0,ADGRG1,7.885073,1.3818415397941428e-12
0,MLLT6,7.839539,1.9404872739242577e-12
0,TNFAIP3,7.8102884,2.337140503854959e-12
0,CORO1A,7.6654563,6.981821395507102e-12
0,IKZF1,7.5823817,1.3009838774397162e-11
0,SLC9A3R1,7.4828467,2.7308492373347135e-11
0,CTSW,7.4308586,3.88918275796116e-11
0,ADGRE5,7.344587,7.293859568249504e-11
0,GNG2,7.3174086,8.762132061488554e-11
0,ARHGEF1,7.252749,1.388777457979397e-10
0,DOK2,7.2285905,1.570678047583448e-10
0,RUNX3,7.2195907,1.6487679412364492e-10
0,CD3G,7.189748,2.0170583180310386e-10
0,PIK3R1,7.1538653,2.577223989511566e-10
0,IL2RG,7.0893245,4.0482179112867473e-10
0,MYO1G,7.0824556,4.184350799117917e-10
0,MSN,7.0507774,5.089953266109514e-10
0,IER2,7.041126,5.370086774166384e-10
0,TMC8,6.9938154,7.305032422209728e-10
0,LCP1,6.959709,8.916707574143369e-10
0,GZMB,6.9594727,8.916707574143369e-10
0,PILRB,6.9575186,8.916707574143369e-10
0,PLAAT4,6.946801,9.485216818631069e-10
0,PNRC1,6.8926816,1.3705080340481146e-09
0,TRBC1,6.8592267,1.7093273909236628e-09
0,SASH3,6.8527727,1.7478145154226702e-09
0,CLEC2D,6.8521805,1.7478145154226702e-09
0,CX3CR1,6.8261275,2.068791717251948e-09
0,CD8A,6.8228707,2.0887719337668504e-09
0,SH3BGRL3,6.8190217,2.1179898273549757e-09
0,PIK3R5,6.7723036,2.8554678835277234e-09
0,RORA,6.6794596,5.336260093308172e-09
0,FMNL1,6.674782,5.442078017604769e-09
0,TGFBR3,6.5811086,9.901071488143334e-09
0,SYTL1,6.498508,1.6805017311375786e-08
0,KLF2,6.4671254,2.045706958801133e-08
0,EIF4E3,6.379788,3.591101313364153e-08
0,ENC1,6.3621426,3.984252571531624e-08
0,ID2,6.291503,6.226983745534787e-08
0,BCL9L,6.247982,8.145399265013128e-08
0,TBX21,6.2212777,9.556507599210925e-08
0,CD3E,6.2170143,9.715230539450048e-08
0,MATK,6.198244,1.0832111426261076e-07
0,CD2,6.1843295,1.170876085100741e-07
0,LCP2,6.1669803,1.2801192250454868e-07
0,DUSP2,6.0426354,2.680983499989811e-07
0,TRAC,6.0425167,2.680983499989811e-07
0,BIN2,5.98668,3.7114828045662047e-07
0,CYTH1,5.978035,3.876578305354864e-07
0,LCK,5.9426856,4.767423833475869e-07
0,GNLY,5.876546,6.990846138057353e-07
0,TRDC,5.8628087,7.52505815123033e-07
0,NLRP1,5.8041887,1.0597252374739289e-06
0,ATM,5.8024716,1.0609932184211175e-06
0,SEPTIN9,5.782932,1.1813084850312665e-06
0,ADRB2,5.7710896,1.2561978823936919e-06
0,FLNA,5.756464,1.3579549564129854e-06
0,ZEB2,5.7393517,1.4894771808830961e-06
0,AKAP13,5.7356806,1.508983383180946e-06
0,CD3D,5.6942325,1.9090244464213017e-06
0,CYFIP2,5.653139,2.4062775720237344e-06
0,FYB1,5.6375074,2.6130211337028016e-06
