Cluster,Gene,Score,Adjusted p-value
0,LGALS1,16.025274,2.0184609411690788e-55
0,TMSB4X,15.26301,1.8277825841679372e-50
0,TMSB10,13.098997,1.2659267338645074e-37
0,TAGLN,12.51604,1.7424212931214852e-34
0,S100A6,12.487776,2.4324962556119018e-34
0,MYL9,12.306579,2.1343356813846005e-33
0,SH3BGRL3,11.241202,3.9381825639293827e-28
0,CFL1,11.080652,2.2856569106303692e-27
0,PFN1,10.075572,7.205888338743929e-23
0,OAZ1,9.8585615,5.924028724564095e-22
0,PEA15,9.726856,2.0708655671497705e-21
0,MYL6,9.705547,2.5288932948832593e-21
0,CORO1C,9.021931,1.3317497641085606e-18
0,S100A10,8.686828,2.435535434740279e-17
0,TPM2,8.558093,7.213581032149228e-17
0,FTH1,8.538161,8.504779918504413e-17
0,DRAP1,8.507008,1.104654122848869e-16
0,PTMS,8.144545,2.1342370666962043e-15
0,CSRP1,7.5261664,2.541102717465314e-13
0,UBA52,7.1417193,4.117979032109382e-12
0,CAVIN1,7.0399795,8.39855857725487e-12
0,MAP1B,6.804266,4.23927035380665e-11
0,HSPB1,6.495577,3.234516715566313e-10
0,MAP4,6.4689603,3.843746794108769e-10
0,PALLD,6.461479,4.0317297984179163e-10
0,SELENOW,6.299295,1.1273881836152199e-09
0,PPDPF,6.1256466,3.307128411721936e-09
0,ANXA2,6.0358577,5.6882309267046304e-09
0,TPM1,5.887259,1.3768057323283044e-08
0,CCND1,5.8240194,1.9858080706468327e-08
0,POLR2L,5.7737846,2.657357711999352e-08
0,RHOA,5.426933,1.8300492757103802e-07
0,ANXA5,5.2542424,4.607578462926638e-07
0,NEK7,5.252244,4.6546684700619175e-07
0,ACTB,5.197485,6.203266211251184e-07
0,MT2A,5.0494533,1.3216744031346797e-06
0,S100A11,4.5916924,1.2234200395689233e-05
0,MAP4K4,4.449279,2.34852662219078e-05
0,DYNLRB1,4.437841,2.471587192190714e-05
0,RHOC,4.351361,3.632392858557158e-05
0,CDC37,4.2141323,6.599135497030392e-05
0,GSTP1,4.147571,8.764272558476058e-05
0,CALD1,4.0688286,0.00012212644995538606
0,NIBAN2,4.003834,0.0001597367392603059
0,TPM4,3.9884527,0.00017023606618382298
0,ACTG1,3.609893,0.000747072117373356
0,CAPNS1,3.6052477,0.0007601525835943182
0,TSPO,3.4243608,0.0014695195731337168
0,GNG12,3.4149215,0.0015181869749717387
0,EEF2,3.3826873,0.0016986566333742385
0,PINK1,3.2629602,0.002572331355137746
0,TAX1BP3,3.1056108,0.004342498980137387
0,FTL,3.036254,0.005426325758062141
0,CYB5R3,2.9219286,0.00777365360990061
0,KIF1C,2.9217396,0.007776734868576119
0,MIF,2.872301,0.009048401340286635
0,YWHAE,2.8224845,0.010521278995098839
0,BRI3,2.793748,0.011462616909069214
0,ENAH,2.6651487,0.016700143731426517
0,PFN2,2.4595628,0.029398610230687842
0,DYNC1LI2,2.3789976,0.0363639551843782
0,CHCHD2,2.31908,0.042407281050319705
0,DHODH,-2.2536664,0.049978924032570836
0,TMEM186,-2.255476,0.04974998514331188
0,NOD1,-2.2556245,0.049736460177976755
0,TAF1A,-2.2576635,0.04947889736296839
0,TLCD1,-2.2576635,0.04947889736296839
0,MACROD1,-2.2582848,0.04941025908899419
0,GRK4,-2.2588654,0.049341253288666814
0,GNG2,-2.2631056,0.048804559075389414
0,ADAMTS10,-2.2634838,0.04876203702017301
0,NOC4L,-2.2648478,0.048594388197258157
0,SYTL2,-2.2673864,0.048278880883223546
0,FGF1,-2.2683992,0.04815682660369664
0,ABHD6,-2.268602,0.04813686285711094
0,DHX35,-2.269088,0.04808125824960536
0,KIFC1,-2.2713296,0.047805757779016765
