Cluster,Gene,Score,Adjusted p-value
0,CXCL16,42.9215,0.0
0,FBP1,42.859276,0.0
0,TGM2,41.391796,0.0
0,MRC1,40.92894,0.0
0,SLCO2B1,38.7067,0.0
0,PCOLCE2,38.215816,0.0
0,ENG,38.2148,0.0
0,IL1A,37.622047,2.1122500404116987e-306
0,CTSH,37.366577,2.7320963492418775e-302
0,COLEC12,37.122246,2.216436635977758e-298
0,LYZ,37.021328,8.516152860189978e-297
0,SAMHD1,36.779232,5.956971089374236e-293
0,ADAMTSL4,36.666576,3.453574864525013e-291
0,TFRC,36.627087,1.364745347325948e-290
0,VSIG4,36.162506,2.8431585285584264e-283
0,INHBA,35.58495,2.697391952857439e-274
0,CXCL3,35.31567,3.5784963848921275e-270
0,MCEMP1,35.019848,1.1237963817505273e-265
0,PNPLA6,34.879642,1.4356967203927444e-263
0,RCAN1,34.730373,2.471376347295885e-261
0,LTA4H,34.33879,1.7769087827583906e-255
0,CTSC,34.150852,1.0640106668616279e-252
0,C1QC,33.488697,5.516464662727417e-243
0,SLC8A1,33.095116,2.623643939605693e-237
0,CCL18,32.794846,5.027700787748626e-233
0,CTSA,32.73511,3.4283462224831686e-232
0,CYBB,32.72072,5.29034198884217e-232
0,HMOX1,32.64264,6.560262405592535e-231
0,S100A9,32.60678,2.0429104108038486e-230
0,SORT1,32.50018,6.368526915237461e-229
0,TRPV2,32.338696,1.1629764760172656e-226
0,IFI30,32.048767,1.286375913309078e-222
0,CLEC4A,31.75022,1.7221244276879466e-218
0,ACE,31.59515,2.281667158413609e-216
0,IL1RN,31.465008,1.3474428831946196e-214
0,IL17RB,31.315468,1.4386854705792483e-212
0,ADGRE3,30.979652,4.936044884910299e-208
0,PPARG,30.961712,8.382412364844506e-208
0,SERPINA1,30.807236,9.688210119806768e-206
0,LRP1,30.7449,6.446028079288292e-205
0,C1QA,30.723305,1.2220958530817571e-204
0,CD74,30.50401,9.893761310207913e-202
0,STON1,30.313276,3.211659123814345e-199
0,CYP27A1,30.276676,9.524065696650822e-199
0,ARRDC4,30.166668,2.5973008580344605e-197
0,UBL3,29.63961,1.8088075894467495e-190
0,FLNA,29.615246,3.646673202758003e-190
0,JAML,29.5749,1.1800577483984799e-189
0,ST14,29.330624,1.5528227652988982e-186
0,HBEGF,29.324097,1.8432706920061507e-186
0,SLC7A7,29.236721,2.3408506427235956e-185
0,GLIPR1,29.163506,1.9521013721505114e-184
0,MCOLN1,29.143513,3.432941553215357e-184
0,PPT1,29.074575,2.512277815568712e-183
0,TNFSF13,28.804045,6.255014846045309e-180
0,QPCT,28.384903,9.996165264367478e-175
0,CSTB,28.370968,1.4591318033337605e-174
0,HCK,28.366373,1.6339297243793926e-174
0,FCGRT,28.306852,8.693544187085195e-174
0,MS4A7,28.114496,1.9568163849813111e-171
0,SCD,27.63452,1.2656530694488935e-165
0,STAC,27.590466,4.2094926383499585e-165
0,FIG4,27.565624,8.226308483981701e-165
0,CORO1C,27.453981,1.7536950969233018e-163
0,ADAM10,26.928009,2.862536248740844e-157
0,TUBA1B,26.821915,4.899198230933541e-156
0,MAN2B1,26.75411,2.9752827157794464e-155
0,CAT,26.648333,4.959277264321767e-154
0,OLR1,26.494942,2.895318002184335e-152
0,IDH1,26.455048,8.218751739695837e-152
0,APLP2,26.434727,1.3878742031669437e-151
0,CTSD,26.428337,1.6208068984051536e-151
0,COLGALT1,26.404787,2.980568992166637e-151
0,ENPP4,26.377176,6.099751181645497e-151
0,SPN,26.356125,1.0492659841256269e-150
0,SPI1,26.274952,8.793889975779771e-150
0,ACTN1,26.212326,4.500962118380404e-149
0,CITED2,26.128534,3.9942517084611305e-148
0,SCPEP1,26.074177,1.633022285513806e-147
0,SOAT1,26.052494,2.839929689013617e-147
0,CLEC7A,26.005497,9.549203700488781e-147
0,EPHX1,26.000753,1.0672843223726814e-146
0,G6PD,25.941423,4.934105611938801e-146
0,GPRIN3,25.888025,1.9492152562286237e-145
0,ANXA5,25.783638,2.8690301662155106e-144
0,SCARB2,25.74406,7.873243397959994e-144
0,ATP6V1B2,25.688494,3.25595087664536e-143
0,KMO,25.590105,4.0265551266261645e-142
0,STOM,25.532679,1.7318198869253614e-141
0,PIK3AP1,25.51658,2.5843975905540264e-141
0,EMILIN2,25.306513,5.363732032490078e-139
0,DHCR24,25.24773,2.349846404278103e-138
0,CSF1,25.221626,4.4963307425337253e-138
0,GRINA,25.214758,5.2912059620590704e-138
0,ITGB2,25.162632,1.9502438017130323e-137
0,ACSL3,25.161772,1.9722273679770873e-137
0,CD52,25.14394,3.0587645955095727e-137
0,ATP2C1,24.951239,3.807434201499904e-135
0,BHLHE41,24.937372,5.3293251555229787e-135
0,FAM20C,24.917614,8.64083273445735e-135
0,SPG21,24.856567,3.9184501570317114e-134
0,JAKMIP2,24.751738,5.247069841567924e-133
0,CD68,24.732334,8.404784514101881e-133
0,RUNX1,24.708357,1.5071896473379952e-132
0,MNDA,24.47957,4.185189018776345e-130
0,PADI2,24.449883,8.581001362787402e-130
0,TMEM173,24.38471,4.185404033761863e-129
0,PIK3CG,24.373388,5.4672335049218217e-129
0,AMIGO2,24.304092,2.934036360122347e-128
0,SLC31A1,24.254417,9.731409130835411e-128
0,ATP9A,24.227188,1.868084714029428e-127
