Cluster,Gene,Score,Adjusted p-value
0,LGALS1,12.636137,7.179683911828381e-35
0,TMSB4X,11.706663,3.9916765638539575e-30
0,FTH1,11.231272,7.890599418880004e-28
0,TMSB10,10.557417,9.306973903152167e-25
0,S100A6,10.094676,9.212668585842221e-23
0,TAGLN,9.808089,1.4440363772001835e-21
0,OAZ1,9.776547,1.9413778410011796e-21
0,MYL9,9.681755,4.707820984464457e-21
0,UBA52,9.0341625,1.6492440119409372e-18
0,SH3BGRL3,8.6270275,5.458637038980235e-17
0,CFL1,8.150597,2.6617973192432533e-15
0,MAP4,7.832534,3.148494145619456e-14
0,PEA15,7.7666173,5.203557101594484e-14
0,MYL6,7.2768335,1.9033661853600717e-12
0,PFN1,6.869322,3.2259244026362094e-11
0,PTMS,6.7316647,8.143993273899355e-11
0,DRAP1,6.518652,3.284612750783957e-10
0,FTL,6.4544907,4.923270109058934e-10
0,EEF2,6.3879504,7.50024789646295e-10
0,MAP1B,6.1715703,2.860627377778069e-09
0,TPM2,6.1006093,4.402216872347547e-09
0,CORO1C,5.8879085,1.5485580804099255e-08
0,PALLD,5.808705,2.4507371045656156e-08
0,S100A10,5.7734714,3.007245337218488e-08
0,PPDPF,5.7342467,3.7671655994821675e-08
0,CAVIN1,5.378519,2.676579214006032e-07
0,CSRP1,5.0562825,1.416354283546512e-06
0,BRI3,4.7660813,5.867418033942801e-06
0,CCND1,4.71942,7.324339963210293e-06
0,ANXA5,4.3735085,3.54218419328585e-05
0,POLR2L,4.27739,5.3934201047609715e-05
0,SELENOW,4.2225895,6.824644699804272e-05
0,EPAS1,4.1211667,0.00010474748355586753
0,HSPB1,4.1208677,0.00010485121472453304
0,RACK1,4.0984406,0.0001151365579799387
0,MT2A,4.070982,0.00012903407088387997
0,CHCHD2,4.033616,0.00015035131873820164
0,GSTP1,4.0181966,0.00016000042632714837
0,MAP4K4,3.916709,0.00024042998080989024
0,KIF1C,3.711614,0.0005352114515961305
0,RHOA,3.4887722,0.0012214468256239426
0,DYNLRB1,3.394591,0.0017074318814053215
0,MIF,3.3551583,0.0019585928890146925
0,TPM1,3.2962885,0.002400730607049894
0,DAP,3.1708913,0.0036617524606783825
0,ANXA2,3.1113327,0.004455395200765889
0,EEF1G,3.1105654,0.004465798199937258
0,NIBAN2,3.0831068,0.00488429764042253
0,TOMM7,2.7609355,0.013154042201333862
0,CDC37,2.757698,0.01327828565868277
0,PFN2,2.6906247,0.016109428227927203
0,NEK7,2.58118,0.021897861853069852
0,GPX4,2.5441003,0.024234075361920477
0,RHOC,2.5368588,0.024719929304219315
0,RAB13,2.5326853,0.024973300634578588
0,DYNC1LI2,2.4852567,0.028405435865970954
0,PINK1,2.4755967,0.029150125217612698
0,UFM1,2.4329007,0.032628187745684246
0,S100A11,2.4077172,0.03487418573355543
0,MICOS10,2.3483403,0.04066827428647878
0,CCAR1,-2.2660944,0.04995391406620853
0,ZNF420,-2.2684216,0.04965705770059006
0,LIAS,-2.2686555,0.04963256875585145
0,NCAPG,-2.2694356,0.04953734047099038
0,MITF,-2.2698777,0.04948598328690487
0,BRAF,-2.2707877,0.04937420565841528
0,NRF1,-2.270866,0.049369974126904054
0,HRAS,-2.2710218,0.049355673196119776
0,PHKA1,-2.273401,0.049055192321735344
0,ZNF276,-2.274064,0.0489759141591814
0,DDX28,-2.2741942,0.048965040834808946
0,HENMT1,-2.2756894,0.04877946342063373
0,BUB1,-2.2769635,0.048622648539393555
0,PLA2G4A,-2.2795768,0.04829636394191237
0,TAF1C,-2.2807078,0.04815895857427693
0,HOXB6,-2.282853,0.047894199465607634
0,EXOSC3,-2.284192,0.04773168823172966
0,PER3,-2.2848551,0.047654247161213636
0,VARS2,-2.284881,0.047654247161213636
0,KDM2B,-2.2853754,0.04760043958193609
0,AURKA,-2.2866364,0.047448514785204766
0,VPS16,-2.2867274,0.04744278350592015
0,TIMELESS,-2.2869744,0.04741759565934411
0,TIMM29,-2.2879236,0.047304985091324546
0,DPP4,-2.2881055,0.04728794538582848
0,AGTPBP1,-2.2882745,0.04727252798248061
0,ZNF433,-2.2883916,0.04726358144559212
0,FARS2,-2.2883916,0.04726358144559212
0,AUH,-2.2884176,0.04726358144559212
0,HEXD,-2.2901337,0.047064118629137446
0,SGSM2,-2.2901857,0.04706325851374973
0,VPS33B,-2.2911477,0.04694975825004714
0,GINS2,-2.293306,0.046689115823362985
0,ACP6,-2.294086,0.04659874733746534
0,NFATC1,-2.29445,0.046559573944701074
0,KIF3B,-2.2946582,0.046539569316438247
0,WDR54,-2.2951262,0.04648768614194398
0,ADPRM,-2.2963872,0.04633881029706512
0,CD82,-2.2970634,0.04626171836355631
0,TRIM47,-2.2985845,0.046081820901024466
0,PAXIP1,-2.2997026,0.04595142019992195
0,TMEM132A,-2.3015227,0.045736408107851095
0,RAB7B,-2.3017437,0.04571513010886647
0,SARM1,-2.302732,0.045601296408165855
0,GSDMD,-2.303213,0.045548743172565166
0,RIMS1,-2.303343,0.04553849759574041
0,TTC31,-2.303356,0.04553849759574041
0,MLLT10,-2.3041492,0.045452320227969065
0,CARD6,-2.304799,0.045379616629053515
0,PEX16,-2.3063853,0.04519489808580174
0,CHST2,-2.3064504,0.045192494994437955
0,ABAT,-2.3068793,0.04514656039645363
0,RNF180,-2.3082576,0.04498744166629814
0,TBXA2R,-2.3087256,0.044937041633321156
0,SAT1,-2.3100257,0.044787819202762126
