Cluster,Gene,Score,Adjusted p-value
0,AZU1,96.296074,0.0
0,ELANE,95.802635,0.0
0,MPO,95.516495,0.0
0,PRTN3,91.40791,0.0
0,SRGN,91.02788,0.0
0,SERPINB1,90.97139,0.0
0,CST7,88.69027,0.0
0,NUCB2,84.953445,0.0
0,SLPI,81.86297,0.0
0,BEX1,80.74816,0.0
0,SPN,80.62217,0.0
0,RNASE2,80.205574,0.0
0,CEACAM6,79.63316,0.0
0,CTSG,77.152176,0.0
0,BPI,75.885765,0.0
0,MLC1,72.78849,0.0
0,ATP8A1,72.7726,0.0
0,PLAC8,72.55128,0.0
0,NKG7,71.89738,0.0
0,MCM7,71.36858,0.0
1,PADI4,81.93466,0.0
1,S100A9,80.85804,0.0
1,S100A8,79.95281,0.0
1,CKAP4,72.00743,0.0
1,HK3,69.4881,0.0
1,TSPAN2,69.20372,0.0
1,S100P,68.54672,0.0
1,S100A12,68.361984,0.0
1,FCAR,68.08519,0.0
1,FPR2,67.8644,0.0
1,MNDA,67.8357,0.0
1,SYNE1,66.17939,0.0
1,SIGLEC5,66.13794,0.0
1,DYSF,65.759254,0.0
1,CEACAM1,65.27606,0.0
1,CHI3L1,65.25942,0.0
1,MMP8,64.64892,0.0
1,TCN1,62.874813,0.0
1,MXD1,61.867237,0.0
1,PGLYRP1,61.83087,0.0
2,PLK1,40.873154,0.0
2,TPX2,39.014954,0.0
2,MKI67,38.539467,0.0
2,CENPE,37.793766,0.0
2,SRGN,36.366753,5.165840492070548e-286
2,CEP55,36.04567,4.8588076381199303e-281
2,CEACAM6,35.910625,5.386154041673848e-279
2,HMMR,34.820206,2.71926958649015e-262
2,CENPF,34.28652,2.305625312616747e-254
2,SLPI,34.221985,1.8723932869040957e-253
2,ANP32E,33.4678,2.1367067752160415e-242
2,BEX1,33.44305,4.517541219768489e-242
2,AZU1,33.01622,6.138230515031483e-236
2,CKS1B,32.96274,3.349489256390443e-235
2,ELANE,32.675323,3.9568788580320226e-231
2,SERPINB1,32.653748,7.541157315016079e-231
2,DLGAP5,32.493717,1.3140553421385382e-228
2,MS4A3,32.21818,9.346096421115804e-225
2,RNASE2,32.179684,3.0705441514109352e-224
2,CKAP2,32.10563,3.1679835619672154e-223
3,RRM2,67.24113,0.0
3,HIST1H1B,65.51641,0.0
3,TYMS,62.728153,0.0
3,MKI67,61.61893,0.0
3,CEACAM6,60.90136,0.0
3,HIST1H2BH,58.262615,0.0
3,LMNB1,57.08543,0.0
3,SRGN,56.358395,0.0
3,MYBL2,56.18253,0.0
3,SLPI,55.658142,0.0
3,ARHGDIB,55.516453,0.0
3,DEFA3,55.171295,0.0
3,BEX1,54.81276,0.0
3,MCM7,54.73312,0.0
3,NKG7,54.355747,0.0
3,ZWINT,54.263824,0.0
3,TK1,54.122448,0.0
3,HIST1H4C,53.54997,0.0
3,BPI,53.24662,0.0
3,NCAPG2,53.189987,0.0
4,CLC,69.24468,0.0
4,EPX,57.752567,0.0
4,PRG2,57.56262,0.0
4,CD24,56.97985,0.0
4,TMSB4X,54.160854,0.0
4,IKZF2,46.74213,0.0
4,RNASE2,45.420822,0.0
4,PRG3,39.42101,0.0
4,CST7,39.1384,0.0
4,ALAS1,38.0477,0.0
