C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score,C20_names,C20_logfold,C20_pvals_adj,C20_z_score,C21_names,C21_logfold,C21_pvals_adj,C21_z_score,C22_names,C22_logfold,C22_pvals_adj,C22_z_score,C23_names,C23_logfold,C23_pvals_adj,C23_z_score
MPO,6.330303,0.0,77.69259,LYZ,4.216608,0.0,51.3399,HIST1H1B,4.5456367,0.0,84.67608,S100A9,6.3958426,0.0,92.8654,CXCL16,3.7501273,0.0,91.280045,CXCL8,4.2566233,0.0,85.45194,CLC,8.008634,0.0,70.80108,S100A9,5.6098924,0.0,70.29129,CPA3,8.758167,0.0,114.427284,CSF2RB,4.8601294,0.0,44.84879,APOE,5.9834733,0.0,100.638214,CD68,3.3980958,1.2626580398213408e-163,27.616854,HBB,9.913719,0.0,38.14276,CALD1,4.761255,3.979695272087316e-158,27.155155,MMP1,9.439425,3.4705546225876664e-256,34.474724,TRBC2,8.669259,1.2243219307443796e-204,30.79169,CRYAB,7.818722,1.793407024066865e-13,8.574889,SPARC,5.8972383,0.0,96.308426,NEK7,4.168321,0.0,100.091255,ITGAX,4.9276958,1.3880939325668307e-182,29.152897,C12orf75,4.323958,0.0,65.02783,HBB,14.776779,5.741119877007125e-163,27.562033,IGHM,12.371299,7.243952579646074e-95,21.132404,TXNDC5,5.0962996,1.593695202040801e-62,17.183567
AZU1,5.8667984,0.0,76.44114,CD74,3.881815,0.0,47.269825,MPO,6.114386,0.0,84.147766,S100A8,6.5014014,0.0,92.38403,CD68,3.4165418,0.0,89.86967,BRI3,1.855336,0.0,72.268616,CD24,3.9183006,0.0,60.78035,S100A8,5.7389092,0.0,70.21348,GATA2,7.1717267,0.0,112.76174,HDC,6.0340304,0.0,43.044487,GPNMB,5.3169103,0.0,97.17183,CTSH,3.5651817,3.50178731489354e-163,27.55483,ANK1,7.7731647,1.3032306445462422e-284,36.272926,TPM2,4.450436,6.75428903227213e-133,24.883572,HHIP,9.531973,1.0057418933798362e-251,34.155384,PNRC1,2.5061438,5.137302473680673e-183,29.108028,TAGLN,7.186101,2.2094483786425215e-13,8.470481,ITGA11,5.5335736,0.0,96.12402,TPM1,5.1807585,0.0,99.87027,APOE,4.661126,1.1109612905418999e-136,25.219349,CXCL12,4.5079374,0.0,62.462635,HBD,11.386464,7.147055157809832e-163,27.528961,CD74,4.370809,2.6748594164370893e-75,18.791428,MZB1,8.730495,1.6978925636514648e-54,16.050901
ELANE,6.084209,0.0,75.18902,DUSP1,2.315176,0.0,42.99131,AZU1,5.657376,0.0,83.269066,PADI4,5.13781,0.0,89.80722,IFI30,3.6669142,0.0,88.97664,PHACTR1,2.6884289,0.0,65.207115,PRG2,7.5226336,0.0,60.00294,MKI67,3.712511,0.0,69.74062,LAPTM5,3.2665067,0.0,111.73166,GATA2,5.9760456,0.0,42.9776,CES1,5.5180645,0.0,95.60891,FBP1,3.9274333,2.055895463884628e-158,27.139038,PRDX2,4.210335,1.6038191575262014e-245,33.68448,TPM1,3.9656339,4.525588508600501e-124,24.042456,TXNDC5,4.866439,1.0511322431205236e-250,34.07478,ZFP36L2,3.1382325,3.937341529824256e-181,28.949623,MYL9,6.1215477,4.601366265939796e-13,8.336779,COL1A1,7.584703,0.0,95.50921,FSCN1,4.2808456,0.0,99.08684,ALOX5,2.7105734,1.9613735678338543e-112,22.878582,AXL,3.863828,0.0,61.191814,HBA2,14.375734,2.7330773689941264e-162,27.465519,CD79A,10.5115595,1.4320416645904143e-72,18.44669,JUN,3.4163368,4.6237393951455553e-48,15.052502
SERPINB1,3.0392182,0.0,73.46525,CXCL2,3.594808,0.0,42.029034,SRGN,3.7072768,0.0,82.46606,FCAR,3.8052273,0.0,84.99732,GRINA,2.0597758,0.0,88.35764,IFI30,2.8414848,0.0,64.920616,EPX,9.300478,0.0,58.990627,MNDA,2.862463,0.0,62.421604,HPGD,7.811408,0.0,108.39109,CLC,6.228281,0.0,40.09838,CTSB,3.1575804,0.0,95.598145,CD52,3.050917,2.8248661066471815e-157,27.031818,HIST1H1C,3.1614966,6.421339272236274e-237,33.082382,TAGLN,4.2852798,3.072627999009019e-106,22.23634,EFEMP1,6.1289306,8.35655972694971e-250,34.00548,BTG1,3.8155317,3.829765281197431e-180,28.866156,TPM2,5.9265394,1.0175872249134055e-12,8.207892,COL1A2,6.4463177,0.0,95.01363,ENAH,4.4445024,0.0,98.99467,CSF1,3.2189968,1.1554526364327487e-106,22.285467,ALCAM,3.4695935,0.0,61.050293,SLC25A37,6.0276794,9.292879382741877e-155,26.801743,CXCR4,3.595868,7.400506940753853e-71,18.224909,IGKC,13.796656,5.007238575710828e-41,13.883004
SRGN,3.4605606,0.0,71.091805,CCL3,3.744515,0.0,40.736954,ELANE,5.84126,0.0,82.19029,FPR2,3.7757387,0.0,82.81703,CYP27A1,4.1875477,0.0,88.35508,IL1RN,3.3898792,0.0,61.885643,TMSB4X,1.4074755,0.0,56.956036,ANXA3,2.9306028,0.0,60.773643,SIGLEC6,6.422346,0.0,106.50917,BHLHE40,2.9060624,0.0,37.694645,CTSZ,3.2736058,0.0,94.93909,CSTB,3.139286,3.138110625246269e-157,27.019688,AHSP,8.93834,2.2394147292812107e-218,31.757812,MYL9,3.763697,3.6811025944448697e-97,21.264069,DKK3,5.13003,2.2765824249991765e-240,33.354374,TRAC,9.473257,7.143448803471578e-158,27.005775,CALD1,5.7474823,5.640274947670345e-12,7.972129,THBS2,5.85531,0.0,94.301056,CAV1,4.715871,0.0,98.98092,PPARG,2.9579716,1.503367162702021e-91,20.65315,ANLN,4.2868147,0.0,60.422,SNCA,7.221882,6.477786476930652e-151,26.464153,BTG1,3.6807418,2.558869565803506e-52,15.651303,ITM2C,4.5392995,5.854654984053649e-28,11.387536
SPN,2.6530547,0.0,68.6208,EMP1,3.3451226,0.0,40.075283,CEACAM6,4.6992674,0.0,80.37603,S100P,3.6621099,0.0,82.61172,CD74,4.1027794,0.0,88.03176,IER3,2.3658042,0.0,61.39108,RNASE2,4.6744866,0.0,48.67862,TSPAN2,3.126221,0.0,60.082626,HDC,6.9063807,0.0,102.67985,TXNIP,3.1583633,2.632092291156322e-296,37.007317,CCL18,5.825301,0.0,91.97509,CCL18,4.5388403,4.1895167916919875e-154,26.745575,HIST1H1B,3.8451827,2.0526823209799444e-199,30.339987,CAVIN1,3.7320645,8.654481832071962e-88,20.20631,CDH5,10.411361,1.9834670199039256e-236,33.075993,CXCR4,2.949181,1.1572774917342788e-156,26.899265,VIM,2.8253481,1.45105688740087e-11,7.831654,COL5A1,5.814706,0.0,94.298225,SERPINE1,5.5601697,0.0,98.76709,LENG8,2.5405204,1.0858098532017842e-89,20.441124,MAP1B,4.0075665,0.0,60.275875,BNIP3L,4.5702343,1.2103598788542494e-148,26.260983,JUN,2.8324172,5.567810136236422e-52,15.59643,IGHA1,13.611823,7.741729017622317e-27,11.151745
PRTN3,5.2643332,0.0,68.54671,IL1B,3.4493332,0.0,40.029987,SERPINB1,3.0949967,0.0,80.26358,HK3,3.478515,0.0,82.6004,MRC1,3.6649666,0.0,87.0455,LITAF,1.952628,0.0,61.23117,IKZF2,5.0105543,0.0,47.328003,HMGB2,2.696575,0.0,59.84017,SAMSN1,3.6408021,0.0,102.566956,CPA3,4.7845883,3.4634210109437554e-277,35.794586,NUPR1,4.5383406,0.0,91.54703,C1QC,4.6195145,1.0119910579664035e-146,26.097248,PRKAR2B,5.851248,2.6848364225077703e-196,30.099628,SPARC,3.4793272,2.892120267921711e-83,19.675186,PODXL,6.3230906,7.847958331554105e-236,33.02837,IL32,6.689987,3.355939800662293e-155,26.772917,CAVIN1,4.6505003,1.495312281142992e-10,7.512774,SERPINE2,5.9455276,0.0,93.83347,GNG12,4.2712603,0.0,98.53018,NABP1,2.4489002,4.133596112914351e-84,19.796352,FSCN1,3.7674294,0.0,60.209797,ALAS2,10.538323,2.7573325571042994e-145,25.953104,MS4A1,12.814561,4.144310116608212e-49,15.156378,TENT5C,4.6765547,1.1476223374859205e-21,9.972142
CEACAM6,4.246713,0.0,65.711945,CD44,1.9392554,0.0,39.89688,SLPI,4.2432065,0.0,79.56023,S100A12,5.7809587,0.0,81.52908,CTSH,3.6481528,0.0,86.49588,BCL2A1,2.128812,0.0,58.56334,CST7,2.8993316,0.0,47.265522,BPI,3.4786577,0.0,59.42552,CLU,4.3446913,0.0,102.13912,CYTIP,3.4593334,1.1337562020754908e-276,35.757736,CD68,3.4810915,0.0,88.320274,COLEC12,3.698516,1.0539536002563021e-145,26.00231,HBD,7.3390713,1.8777656550950037e-191,29.724197,MAP1B,3.503012,3.425458261067175e-79,19.183186,GNG11,6.5357575,7.847958331554105e-236,33.02572,JUN,2.8311994,5.3900412965288175e-155,26.754215,PEA15,4.071841,4.3712073103298577e-10,7.3532844,COL3A1,5.54629,0.0,93.74342,C12orf75,4.3099313,0.0,98.375534,MT-ND4,2.7596323,3.819061376839332e-82,19.563463,CAV1,4.109514,0.0,60.196136,SLC4A1,10.457666,1.6335307901084447e-142,25.702927,DUSP1,2.5672612,4.562555653994617e-48,14.987735,IGHG1,12.301859,1.3585436175663029e-21,9.954441
NUCB2,2.6069164,0.0,65.279594,NFKBIA,2.3393884,0.0,39.699245,RNASE2,4.026725,0.0,78.60572,CHI3L1,3.669487,0.0,79.73619,CTSD,3.068676,0.0,86.41148,LCP2,1.8540715,0.0,56.02002,SRGN,1.7631745,0.0,44.170803,NKG7,3.1581576,0.0,58.865402,FXYD5,2.1801884,0.0,100.483215,SAMSN1,3.1190016,5.9495938537229e-272,35.449417,CSTB,3.3057196,0.0,87.84933,CXCL3,3.9948814,3.747668208816906e-140,25.502163,SNCA,4.5126925,5.776527219128589e-180,28.81545,FN1,3.5424716,3.762650618460619e-75,18.682543,ECE1,4.8699155,5.458922344264091e-233,32.823547,EVL,3.3572454,6.397284624200679e-151,26.398777,LGALS1,3.351958,4.3743589208255797e-10,7.337435,LOXL2,5.186806,0.0,92.73361,CNN3,4.4770536,0.0,98.30351,TRIM25,2.5607486,9.766173048929141e-82,19.512238,SCARA3,4.1790156,0.0,60.13413,TRIM58,9.329955,3.3040068119730334e-133,24.842632,JUND,2.2342234,1.3853186112759092e-46,14.750266,UBE2J1,2.3546693,5.131723290888829e-21,9.810082
RNASE2,3.655243,0.0,65.079834,CD14,3.0438752,0.0,39.54929,BEX1,4.177669,0.0,77.55022,DYSF,3.1267679,0.0,79.360245,CSTB,3.0917225,0.0,85.69263,LSP1,2.3237398,0.0,55.67103,PRG3,8.821675,0.0,40.186718,NUSAP1,3.1996877,0.0,58.471077,VWA5A,4.793669,0.0,99.471306,AKAP12,4.934012,1.0805396018806714e-261,34.77418,CD74,4.1626186,0.0,86.58621,IFI30,3.3274963,4.3264452343569045e-140,25.492413,IDH2,2.1091678,1.2158914691134168e-152,26.529993,COL1A1,3.6349306,1.2868189823085925e-69,17.976278,MCAM,5.0309296,4.0560333945555585e-228,32.47713,TCF7,6.7180367,4.0084037391817784e-144,25.793758,IGFBP7,4.5570135,1.3685761135401387e-09,7.168747,PRSS23,5.1736016,0.0,92.22567,CCN2,5.405979,0.0,98.14951,ZFYVE16,2.9853992,5.0909353337309965e-77,18.934633,FOSL1,3.3102324,0.0,59.781597,RBM38,5.6897945,1.1068245731307054e-127,24.32144,FOS,2.946323,9.766893339962307e-46,14.614546,DUSP1,2.104401,1.5150931193373785e-20,9.695242
