C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score
APOE,5.197779,0.0,69.537315,CPA3,10.418788,0.0,80.79523,CLC,7.9420176,2.7043952154077136e-86,20.17906,S100A9,5.2235646,0.0,89.267715,TYMS,4.4334793,0.0,66.35976,IRF8,8.009485,1.264746895385535e-19,10.076832,LENG8,3.422189,1.5533987734407085e-146,26.113266,MYL9,3.6778948,2.9017826879597506e-76,19.003193,COL1A1,7.098439,0.0,117.25519,HBA2,13.465321,9.024990078466374e-165,27.69416,JUN,3.6647887,1.6041194425119326e-195,30.091764,TXNDC5,4.168568,1.2718971324383278e-65,17.608759,CD74,4.8752146,2.8021204505015846e-58,16.657352,ITGA2B,6.494356,5.177150955441933e-18,9.705271
CES1,5.0960293,0.0,68.913605,GATA2,8.284476,0.0,80.09967,TMSB4X,1.7962056,2.7349010751804446e-79,19.329643,IFI30,5.1527905,0.0,86.55963,MKI67,5.1588826,0.0,62.07721,ITM2C,6.305948,5.499040606980204e-18,9.628135,RSRP1,3.8724673,4.618214019713861e-134,24.970564,LGALS1,2.5329976,1.2953437709045158e-74,18.766,COL1A2,6.1489034,0.0,117.21802,HBB,13.934937,9.024990078466374e-165,27.687109,CXCR4,4.4931955,1.38186189022657e-182,29.067791,MZB1,9.573957,1.792137972887947e-48,15.120337,IGHM,10.905852,5.077601157206015e-58,16.588614,GP1BB,9.179376,1.0078959320095804e-15,9.032874
GPNMB,4.6772647,0.0,67.9713,LAPTM5,4.64355,0.0,78.779945,SRGN,2.642955,3.274219646789209e-77,19.059954,LYZ,5.7631783,0.0,84.937004,RRM2,5.1036887,0.0,58.92587,MPEG1,8.179057,4.4025151132298593e-16,9.123045,ITGAX,4.2297077,1.5935053724276136e-104,22.049334,TAGLN,3.830618,2.6501975075623265e-69,18.082258,SPARC,4.935208,0.0,117.10462,HBD,10.606256,4.6087259396304094e-164,27.613571,TRBC2,8.969586,1.277697208664003e-178,28.746937,JUN,3.364756,2.902928531536718e-41,13.922018,CXCR4,5.2859597,7.871022849309643e-57,16.405697,ITGB3,5.9772477,4.107297353080763e-13,8.297162
NUPR1,3.5190656,0.0,65.1605,SRGN,2.7937315,0.0,77.019516,CSF2RB,4.805017,2.3169710205187066e-75,18.820545,CXCL8,5.47973,0.0,84.65914,LMNB1,4.211924,0.0,55.912292,CD74,4.687644,9.456647012418698e-16,9.008342,NABP1,2.5291407,1.5105072726188693e-86,20.042665,TPM2,3.2139704,3.0487008345062453e-56,16.30963,COL5A1,5.7097745,0.0,117.07207,SLC25A37,6.636755,4.3923103337949265e-157,27.007257,ZFP36L2,3.484361,7.941421224733102e-175,28.43301,IGKC,11.799986,6.25736253224952e-34,12.586936,CD79A,9.598317,2.632279370637895e-51,15.588362,PLEK,4.4169173,1.65539753572292e-12,8.064994
CTSZ,2.3233254,0.0,62.004536,SAMSN1,5.5681605,0.0,76.68156,CD24,5.932467,1.0408080953894403e-66,17.721182,CYBB,4.526867,0.0,83.92666,TPX2,4.4551735,0.0,55.052963,APP,2.696872,4.170598987280302e-15,8.814742,KLF6,1.965151,5.7259699973773145e-71,18.10615,CALD1,3.0611181,2.2022902620460428e-51,15.589908,FN1,6.6202397,0.0,115.907936,SNCA,7.23112,1.044928403119958e-149,26.35396,PNRC1,2.7234876,1.1083563947002601e-173,28.334833,SEC11C,3.7161605,1.5767314416387062e-27,11.305714,BTG1,4.861427,1.6328717827696368e-49,15.296023,FERMT3,3.8526223,1.921062053402007e-12,8.019424
CTSB,2.1127791,0.0,61.956352,CLU,6.072497,0.0,75.5089,CYTIP,4.3344865,4.205121666850168e-65,17.501505,CTSA,2.852732,0.0,81.70198,TUBB,2.0450442,0.0,52.724823,PLD4,9.307876,2.287521427962298e-14,8.579135,ALOX5,2.812839,1.803209137907168e-67,17.643738,TMSB10,1.8493105,1.570167414901283e-48,15.155703,LOXL2,5.117446,0.0,114.70947,BNIP3L,4.1543627,2.7228494721047678e-148,26.22565,BTG1,4.466137,1.8468932530694527e-167,27.819029,UBE2J1,2.0252798,5.757762991974663e-25,10.750053,JUND,3.4649568,1.933310504178891e-48,15.127347,TMSB4X,1.7628652,4.164913609596828e-12,7.9119596
MARCO,4.8482256,0.0,60.967358,HPGD,8.651884,0.0,74.52445,EGR3,5.717887,7.937077095881455e-65,17.456488,CTSH,4.4169226,0.0,81.46162,SMC4,3.1597154,0.0,52.071957,YPEL5,3.178341,2.287521427962298e-14,8.572563,MT-ND4,2.2793949,2.147481335270293e-67,17.63337,TPM1,2.8653688,8.86432439661452e-42,14.069082,MMP2,4.245073,0.0,114.39784,ALAS2,9.808139,1.5571537394652882e-147,26.15515,JUNB,2.9299076,1.3094997738349948e-156,26.898005,ITM2C,4.0764313,1.2104250925889212e-24,10.676077,MS4A1,12.013474,1.3341030986102272e-47,14.982249,CAVIN2,6.746681,1.1639258576900825e-11,7.761879
CD68,3.7439196,0.0,59.982513,GLUL,4.190802,0.0,74.00246,FTL,2.1627986,2.0093648909758245e-61,16.995348,GRINA,2.3675592,0.0,80.74766,CEP55,4.7033877,0.0,50.774742,MAPKAPK2,3.3787763,9.424635810857382e-14,8.381806,APOE,3.169205,2.7967483555748367e-66,17.484306,ANXA2,1.9700447,3.75196067681077e-40,13.795905,PRSS23,5.053281,0.0,114.35753,SLC4A1,9.563797,4.544094383611499e-143,25.752583,FOS,4.12309,8.595752212125773e-148,26.12039,IGHA1,11.841878,1.012386949780218e-23,10.464745,CD37,3.9256465,1.0230642892642072e-45,14.681362,NRGN,7.4234657,3.491938403648255e-10,7.2672343
SCD,3.4572182,0.0,59.669353,FXYD5,2.3341992,0.0,73.27401,NCF2,4.0322895,2.0727749042818038e-60,16.850992,CTSD,3.8976388,0.0,79.83137,HIST1H1B,4.4588833,0.0,49.580936,CLEC4C,13.034847,1.4543816110395602e-13,8.308991,MT-ND3,2.3806455,7.494224285104169e-64,17.15548,PEA15,2.2154598,8.793848873818409e-40,13.726968,TGFBI,4.9944806,0.0,113.7327,TENT5C,7.6561766,3.5617443460978128e-130,24.560402,IL32,7.3939095,1.0522696369339145e-140,25.486347,TENT5C,4.9198704,1.8348293263652363e-20,9.687751,JUN,3.6165977,5.964274468894785e-42,14.068431,PRKAR2B,6.1058693,8.986290107966249e-10,7.1120834
BHLHE41,3.5908916,0.0,58.605984,SIGLEC6,7.9311113,0.0,72.07936,BTG2,3.6208885,1.1627585990637878e-59,16.738129,GRN,3.3101573,0.0,79.63373,FOXM1,3.5422366,0.0,49.25803,PLAC8,7.1584992,3.680763599406323e-12,7.873067,PLEC,1.6287904,1.0556584388751213e-62,16.997416,MAP1B,2.8924468,8.793848873818409e-40,13.723979,COL3A1,5.1944604,0.0,113.73099,RBM38,6.5388513,6.824514759320035e-129,24.435535,TRAC,9.644428,2.786228100348099e-139,25.355282,DERL3,7.7841477,2.3289637321792166e-18,9.14783,FOS,4.383181,4.126527984303304e-40,13.754399,RAB27B,4.9706364,1.3451967131463458e-09,7.050289
