C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score
MARCO,5.385021,0.0,55.668274,CES1,4.2906694,0.0,43.241028,HIST1H1B,5.324432,0.0,50.462986,S100A9,5.4127083,0.0,52.140217,CPA3,9.430525,0.0,77.43228,CXCL16,4.2560134,0.0,76.80208,CLC,9.812777,6.484444611177276e-278,35.895535,LENG8,3.414585,1.08069773830633e-145,26.038988,MYL9,3.6778948,2.9017826879597506e-76,19.003193,SERPINE1,4.084864,0.0,75.021324,CXCL12,3.0906296,0.0,59.345577,COL1A1,5.412847,0.0,70.09687,CEP55,5.304081,0.0,53.967896,HBA2,13.465321,9.024990078466374e-165,27.69416,JUN,3.6647887,1.6041194425119326e-195,30.091764,TXNDC5,4.157911,3.4889603629659195e-66,17.681831,CD74,4.8752146,2.8021204505015846e-58,16.657352,ITGA2B,6.494356,5.177150955441933e-18,9.705271
CTSZ,2.8634217,0.0,55.443325,GPNMB,3.9216785,0.0,42.14449,TYMS,3.7284648,0.0,45.431015,S100A8,5.659592,0.0,49.691097,LAPTM5,4.7299676,0.0,76.02995,CTSH,4.505761,0.0,76.26284,SRGN,3.3437183,5.076963157093637e-265,35.0396,RSRP1,3.872706,1.4054341703276815e-134,25.018085,LGALS1,2.5329976,1.2953437709045158e-74,18.766,GAS6,3.4322536,0.0,74.31866,HAS2,3.395066,0.0,57.43628,ITGA11,3.9117243,0.0,69.79901,MKI67,4.771197,0.0,52.126663,HBB,13.934937,9.024990078466374e-165,27.687109,CXCR4,4.4931955,1.38186189022657e-182,29.067791,MZB1,9.550716,3.874480762217516e-48,15.06948,IGHM,10.905852,5.077601157206015e-58,16.588614,GP1BB,9.179376,1.0078959320095804e-15,9.032874
APOE,5.1938715,0.0,54.734604,CD68,3.4598808,0.0,40.516476,HIST1H1C,2.979436,0.0,45.384544,FCAR,5.063326,0.0,44.69249,GATA2,7.5779963,0.0,75.14351,CTSA,2.9840047,0.0,74.792816,CSF2RB,5.344777,3.344944215991771e-241,33.42704,ITGAX,4.2211785,4.522991138425832e-104,22.002068,TAGLN,3.830618,2.6501975075623265e-69,18.082258,CCN2,4.0357623,0.0,74.16512,DKK1,2.922605,0.0,55.65737,COL1A2,4.5201545,0.0,69.658516,TPX2,4.559351,0.0,51.554787,HBD,10.606256,4.6087259396304094e-164,27.613571,TRBC2,8.969586,1.277697208664003e-178,28.746937,JUN,3.3343737,2.2581402494030898e-40,13.774645,CXCR4,5.2859597,7.871022849309643e-57,16.405697,ITGB3,5.9772477,4.107297353080763e-13,8.297162
GPNMB,4.629278,0.0,52.109844,CSTB,2.986327,0.0,40.367737,MCM7,3.808467,0.0,41.574856,CXCL8,4.7002516,0.0,43.798077,HPGD,8.402763,0.0,74.00224,FBP1,4.6506834,0.0,74.789246,SAMSN1,4.0640154,1.7815981365260758e-166,27.803444,NABP1,2.5220559,5.870637207747856e-86,19.969904,TPM2,3.2139704,3.0487008345062453e-56,16.30963,SMURF2,3.0025897,0.0,73.0706,LOXL1,2.6121302,0.0,55.387646,SPARC,4.0086946,0.0,69.38462,ANLN,5.0598316,0.0,50.547966,SLC25A37,6.636755,4.3923103337949265e-157,27.007257,ZFP36L2,3.484361,7.941421224733102e-175,28.43301,IGKC,11.761987,1.029943058162277e-33,12.544295,CD79A,9.598317,2.632279370637895e-51,15.588362,PLEK,4.4169173,1.65539753572292e-12,8.064994
CCL18,5.1485505,0.0,51.717262,LGALS3,2.7145877,0.0,40.362625,MCM5,3.4596162,2.562624819777459e-295,36.934845,LSP1,3.7592556,0.0,43.342888,CTSG,9.0220995,0.0,73.852646,CYP27A1,4.491282,0.0,73.87211,BHLHE40,3.2385187,3.889427769650833e-163,27.51779,KLF6,1.9578587,2.204912614298649e-70,18.029945,CALD1,3.0611181,2.2022902620460428e-51,15.589908,NEK7,3.0721343,0.0,72.75526,TPM1,3.4498289,0.0,55.384594,COL3A1,3.9358723,0.0,67.097015,PLK1,5.66734,0.0,50.022636,SNCA,7.23112,1.044928403119958e-149,26.35396,PNRC1,2.7234876,1.1083563947002601e-173,28.334833,SEC11C,3.723969,5.378369984661295e-28,11.407476,BTG1,4.861427,1.6328717827696368e-49,15.296023,FERMT3,3.8526223,1.921062053402007e-12,8.019424
CD163,4.918198,0.0,51.715614,APOE,3.8539438,0.0,40.186813,LMNB1,3.2539182,7.452553144966876e-282,36.08346,PLAUR,2.9700978,0.0,42.524616,FXYD5,2.4965165,0.0,73.34296,CSTB,3.6692114,0.0,73.402565,CXCR4,4.3463073,3.572836260017218e-162,27.430552,ALOX5,2.814802,6.9794661402281885e-68,17.69828,TMSB10,1.8493105,1.570167414901283e-48,15.155703,DDAH1,2.977418,0.0,71.22189,MXRA8,2.3812034,0.0,55.16815,COL5A1,3.967487,0.0,66.92737,FOXM1,3.9244397,0.0,48.35538,BNIP3L,4.1543627,2.7228494721047678e-148,26.22565,BTG1,4.466137,1.8468932530694527e-167,27.819029,UBE2J1,2.0279112,2.184651029799571e-25,10.843616,JUND,3.4649568,1.933310504178891e-48,15.127347,TMSB4X,1.7628652,4.164913609596828e-12,7.9119596
CES1,4.8212914,0.0,51.33138,NUPR1,3.100994,0.0,38.929417,MCM2,4.0278687,3.084898298883972e-278,35.849434,CSF3R,4.611136,0.0,41.134884,GLUL,4.32756,0.0,72.5104,LYZ,5.604978,0.0,73.01597,CYTIP,3.9020944,1.0632262582113436e-151,26.532253,MT-ND4,2.278162,1.56067573435822e-67,17.652395,TPM1,2.8653688,8.86432439661452e-42,14.069082,STC2,3.2573168,0.0,71.096405,MAP1B,2.6896517,0.0,55.01837,THBS2,4.138781,0.0,65.62472,CENPE,4.712305,0.0,48.23824,ALAS2,9.808139,1.5571537394652882e-147,26.15515,JUNB,2.9299076,1.3094997738349948e-156,26.898005,ITM2C,4.0657754,5.556999785482487e-25,10.751365,MS4A1,12.013474,1.3341030986102272e-47,14.982249,CAVIN2,6.746681,1.1639258576900825e-11,7.761879
PSAP,3.4027786,0.0,50.57894,FTL,1.841257,0.0,38.461105,IDH2,1.8086685,1.7918887797869508e-255,34.350437,NAMPT,3.1784058,0.0,40.297737,SAMSN1,5.3873262,0.0,71.96551,IFI30,4.9121284,0.0,72.95607,PLPP1,5.1596866,3.535144362051595e-145,25.951263,APOE,3.1804247,9.2636718380467e-67,17.547651,ANXA2,1.9700447,3.75196067681077e-40,13.795905,MYO1B,2.7383265,0.0,70.56636,C12orf75,2.520604,0.0,54.47867,HTRA1,3.129578,0.0,64.49663,CENPF,4.948349,0.0,47.873833,SLC4A1,9.563797,4.544094383611499e-143,25.752583,FOS,4.12309,8.595752212125773e-148,26.12039,IGHA1,11.806843,1.454036363701021e-23,10.429137,CD37,3.9256465,1.0230642892642072e-45,14.681362,NRGN,7.4234657,3.491938403648255e-10,7.2672343
CD74,4.430201,0.0,50.489468,CXCL8,3.9294887,2.8566069237475944e-289,36.55331,MKI67,3.0971425,1.6424957423233065e-247,33.805542,CYBB,3.3574133,0.0,39.80478,CLU,5.8171344,0.0,71.25592,TFRC,3.8988519,0.0,72.53201,TMSB4X,1.2777385,2.7494284761288794e-129,24.488127,MT-ND3,2.3737838,1.9663827410816802e-63,17.097275,PEA15,2.2154598,8.793848873818409e-40,13.726968,LOX,3.4384322,0.0,70.43841,FSCN1,2.4965715,0.0,54.44013,PSAT1,3.377446,0.0,63.515358,RRM2,4.1108117,0.0,47.27732,TENT5C,7.6561766,3.5617443460978128e-130,24.560402,IL32,7.3939095,1.0522696369339145e-140,25.486347,TENT5C,4.9036374,2.6917633025338386e-20,9.649444,JUN,3.6165977,5.964274468894785e-42,14.068431,PRKAR2B,6.1058693,8.986290107966249e-10,7.1120834
CTSB,2.3586338,0.0,50.378548,LAMP1,1.3741866,4.1823887694921785e-273,35.51853,RRM2,3.515599,2.1848741495652864e-247,33.79551,NFKBIA,3.0089386,0.0,39.194603,SIGLEC6,7.330697,0.0,70.29611,CTSD,3.9336782,0.0,72.25822,TXNIP,2.9227452,8.614386226207511e-128,24.344252,PLEC,1.6323726,3.7005197508656203e-63,17.05997,MAP1B,2.8924468,8.793848873818409e-40,13.723979,PEA15,2.4568186,0.0,70.01338,CCN1,2.6188385,0.0,54.43783,MMP2,3.092543,0.0,62.190754,CKAP2,3.987093,0.0,46.98172,RBM38,6.5388513,6.824514759320035e-129,24.435535,TRAC,9.644428,2.786228100348099e-139,25.355282,DERL3,7.7699285,3.0972150850171117e-18,9.116256,FOS,4.383181,4.126527984303304e-40,13.754399,RAB27B,4.9706364,1.3451967131463458e-09,7.050289
