C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score
CTSZ,2.872292,0.0,55.49664,CES1,4.356754,0.0,44.36381,CXCL16,4.22316,0.0,76.14845,CEP55,5.204039,0.0,53.62585,IRF8,8.004893,6.179023749374476e-21,10.369384,CPA3,9.427423,0.0,77.40136,S100A9,5.5032735,0.0,52.55158,CLC,9.841749,1.8440711610149028e-280,36.058365,LENG8,3.414585,1.08069773830633e-145,26.038988,MYL9,3.7262433,1.6980677005570403e-76,19.031292,HIST1H1B,5.501474,0.0,48.870815,SERPINE2,3.9688313,0.0,59.51438,CXCL12,3.0901024,0.0,59.25837,COL1A1,5.3649364,0.0,66.19001,SMURF2,2.9116733,0.0,54.637966,FOS,4.61174,1.5213967188740688e-218,31.820541,HBA2,13.465321,9.024990078466374e-165,27.69416,JUN,3.6647887,1.6041194425119326e-195,30.091764,TXNDC5,4.157911,3.4889603629659195e-66,17.681831,ITGA2B,6.494356,5.177150955441933e-18,9.705271
MARCO,5.3635025,0.0,55.380978,GPNMB,3.9463975,0.0,42.963524,CTSH,4.4863615,0.0,75.82279,MKI67,4.784325,0.0,53.37104,ITM2C,6.160126,1.1434471110882377e-17,9.552607,LAPTM5,4.7284994,0.0,75.98249,S100A8,5.80422,0.0,51.00934,SRGN,3.3487408,2.8857741820478635e-266,35.121273,RSRP1,3.872706,1.4054341703276815e-134,25.018085,LGALS1,2.5720928,1.5618963242320723e-74,18.756054,TYMS,3.882176,0.0,43.99907,GAS6,3.2210586,0.0,56.115845,HAS2,3.4245663,0.0,57.785595,COL1A2,4.4861293,0.0,65.933174,RGS4,3.419261,0.0,54.09078,JUN,3.04479,4.003296433143377e-158,27.050543,HBB,13.934937,9.024990078466374e-165,27.687109,CXCR4,4.4931955,1.38186189022657e-182,29.067791,MZB1,9.550716,3.874480762217516e-48,15.06948,GP1BB,9.179376,1.0078959320095804e-15,9.032874
APOE,5.151045,0.0,54.369484,APOE,3.948903,0.0,41.545284,CTSA,2.9975703,0.0,75.01399,TPX2,4.3671255,0.0,49.860313,MPEG1,8.185791,2.2361566438322767e-17,9.4405,GATA2,7.571856,0.0,75.09837,FCAR,5.1308,0.0,45.450916,CSF2RB,5.3378925,4.7315224813764584e-241,33.416676,ITGAX,4.2211785,4.522991138425832e-104,22.002068,TAGLN,3.872648,1.3221137034061494e-68,17.99343,HIST1H1C,3.1617484,0.0,42.461285,SPARC,3.47239,0.0,55.559036,DKK1,2.9406,0.0,55.75384,ITGA11,3.8439672,0.0,65.5782,SERPINE1,3.7849178,0.0,52.829506,DUSP1,2.6006017,5.2924726683288794e-148,26.168022,HBD,10.606256,4.6087259396304094e-164,27.613571,TRBC2,8.969586,1.277697208664003e-178,28.746937,JUN,3.3343737,2.2581402494030898e-40,13.774645,ITGB3,5.9772477,4.107297353080763e-13,8.297162
GPNMB,4.5949626,0.0,51.650604,CD68,3.4638898,0.0,40.981785,CYP27A1,4.4961896,0.0,73.84288,RRM2,4.2382364,0.0,49.06688,CD74,4.6836624,7.915729413469934e-17,9.276518,HPGD,8.398141,0.0,73.99625,LSP1,3.7613814,0.0,43.32285,SAMSN1,4.051346,4.651235466612278e-166,27.768953,NABP1,2.5220559,5.870637207747856e-86,19.969904,TPM2,3.2477732,1.6418385918771752e-55,16.195246,MCM7,3.599345,0.0,38.246784,LOXL2,3.192214,0.0,55.432842,LOXL1,2.6272054,0.0,55.499523,SPARC,3.9537952,0.0,64.98023,GLIPR1,2.1820107,0.0,51.933674,ZFP36L2,2.7467003,1.3587648487664714e-127,24.280428,SLC25A37,6.636755,4.3923103337949265e-157,27.007257,ZFP36L2,3.484361,7.941421224733102e-175,28.43301,IGKC,11.761987,1.029943058162277e-33,12.544295,PLEK,4.4169173,1.65539753572292e-12,8.064994
CD163,4.9260116,0.0,51.463238,CSTB,2.9723258,0.0,40.65067,CSTB,3.6755857,0.0,73.41448,ANLN,4.781196,0.0,48.09282,APP,2.7064989,2.3786561117564923e-16,9.134394,CTSG,9.021026,0.0,73.85366,CXCL8,4.6725063,0.0,43.20794,CXCR4,4.356724,1.6729663471664764e-163,27.548391,KLF6,1.9578587,2.204912614298649e-70,18.029945,CALD1,3.070503,5.676237947039403e-50,15.380938,RRM2,3.858292,4.8624946272296675e-282,36.114468,IGFBP7,2.9572268,0.0,54.587055,MXRA8,2.3906717,0.0,55.23907,COL3A1,3.918503,0.0,63.59024,CCN2,3.6267638,0.0,51.581516,CD74,3.1043382,1.1267422707478095e-111,22.701807,SNCA,7.23112,1.044928403119958e-149,26.35396,PNRC1,2.7234876,1.1083563947002601e-173,28.334833,SEC11C,3.723969,5.378369984661295e-28,11.407476,FERMT3,3.8526223,1.921062053402007e-12,8.019424
CCL18,5.112125,0.0,51.39587,LGALS3,2.679132,0.0,40.370243,IFI30,4.9247417,0.0,73.10012,PLK1,5.4194264,0.0,47.225018,PLD4,9.348969,1.2836836570862595e-15,8.912945,FXYD5,2.497368,0.0,73.34365,PLAUR,2.9610758,0.0,42.055904,BHLHE40,3.2347484,4.5901359975699724e-163,27.50516,ALOX5,2.814802,6.9794661402281885e-68,17.69828,TMSB10,1.8967748,9.629359281167624e-50,15.338014,MCM5,3.3623877,9.481918726323009e-272,35.44771,ITGA11,3.0938072,0.0,54.57571,C12orf75,2.5639083,0.0,55.193718,COL5A1,3.9088674,0.0,62.792904,NEK7,2.8176222,0.0,51.092228,CELF2,2.522251,2.6460178707417344e-91,20.507929,BNIP3L,4.1543627,2.7228494721047678e-148,26.22565,BTG1,4.466137,1.8468932530694527e-167,27.819029,UBE2J1,2.0279112,2.184651029799571e-25,10.843616,TMSB4X,1.7628652,4.164913609596828e-12,7.9119596
CES1,4.784633,0.0,50.96659,NUPR1,3.1507506,0.0,40.174717,FBP1,4.5375137,0.0,72.72506,CENPE,4.51446,0.0,46.718304,CLEC4C,13.324237,1.0195069088363954e-14,8.651686,GLUL,4.325587,0.0,72.4478,CSF3R,4.586216,0.0,41.230278,CYTIP,3.886592,8.174203212822733e-150,26.36832,MT-ND4,2.278162,1.56067573435822e-67,17.652395,ANXA2,2.026346,6.989981644624137e-42,14.085874,MKI67,3.360376,1.6463587828020823e-268,35.23244,COL4A1,2.986241,0.0,54.481396,TPM1,3.4431114,0.0,54.92598,HTRA1,3.1183376,0.0,61.297016,MYO1B,2.5095398,0.0,50.744957,EEF2,0.9554061,1.4610661669380227e-83,19.607851,ALAS2,9.808139,1.5571537394652882e-147,26.15515,JUNB,2.9299076,1.3094997738349948e-156,26.898005,ITM2C,4.0657754,5.556999785482487e-25,10.751365,CAVIN2,6.746681,1.1639258576900825e-11,7.761879
CD74,4.4382563,0.0,50.533615,FTL,1.7967869,0.0,38.195946,LYZ,5.5887876,0.0,72.68249,FOXM1,3.745087,0.0,46.648018,YPEL5,3.0807095,6.86064192514827e-14,8.407916,SAMSN1,5.390514,0.0,71.98598,CYBB,3.4446113,0.0,40.484455,PLPP1,5.1474004,4.0525506936519813e-144,25.857243,APOE,3.1804247,9.2636718380467e-67,17.547651,TPM1,2.906398,1.0079965717816226e-41,14.054325,CENPU,3.6187246,1.7884014252737075e-263,34.898216,THBS2,3.3997834,0.0,54.2997,FSCN1,2.522634,0.0,54.839447,THBS2,4.0123715,0.0,60.9963,CNN3,2.7368007,0.0,50.728146,MPO,7.709021,7.40105003024377e-82,19.403831,SLC4A1,9.563797,4.544094383611499e-143,25.752583,FOS,4.12309,8.595752212125773e-148,26.12039,IGHA1,11.806843,1.454036363701021e-23,10.429137,NRGN,7.4234657,3.491938403648255e-10,7.2672343
PSAP,3.3744423,0.0,50.137363,CXCL8,3.9151008,8.312971083297313e-293,36.77522,CTSD,3.947251,0.0,72.41979,TYMS,3.3913875,0.0,46.143963,MAPKAPK2,3.284589,2.6353859046236313e-13,8.228564,CLU,5.820382,0.0,71.273865,NAMPT,3.1542242,0.0,39.827187,TMSB4X,1.2737752,5.846874983353215e-129,24.457346,MT-ND3,2.3737838,1.9663827410816802e-63,17.097275,PEA15,2.2547078,3.250889926458749e-40,13.795923,TUBB,1.9598423,1.1230599609018782e-260,34.70988,LOX,3.2084706,0.0,54.1578,MAP1B,2.6892164,0.0,54.805294,PSAT1,3.2911077,0.0,59.173378,ACTA2,3.1911175,0.0,50.477448,JUND,2.065585,2.5638403961673123e-78,18.972769,TENT5C,7.6561766,3.5617443460978128e-130,24.560402,IL32,7.3939095,1.0522696369339145e-140,25.486347,TENT5C,4.9036374,2.6917633025338386e-20,9.649444,PRKAR2B,6.1058693,8.986290107966249e-10,7.1120834
CTSB,2.3559508,0.0,50.135525,LAMP1,1.4036181,2.7067049336848564e-290,36.61507,TFRC,3.8808029,0.0,72.1941,CENPF,4.7834272,0.0,46.069336,PLAC8,7.07199,2.2698789116586788e-12,7.926197,SIGLEC6,7.3238716,0.0,70.25647,CD14,3.4831588,0.0,38.9488,BTG2,3.0889878,3.6532981492438326e-128,24.379404,PLEC,1.6323726,3.7005197508656203e-63,17.05997,S100A6,1.5910312,5.764122036914915e-40,13.737455,MCM2,3.8352976,2.7146252803622137e-253,34.21392,TPM2,3.0638392,0.0,54.025867,TNC,2.8154702,0.0,54.314777,LAMC1,2.870171,0.0,58.479897,CLIC4,2.1800797,0.0,50.27364,HIST1H1C,2.3595974,8.301728347214302e-75,18.534492,RBM38,6.5388513,6.824514759320035e-129,24.435535,TRAC,9.644428,2.786228100348099e-139,25.355282,DERL3,7.7699285,3.0972150850171117e-18,9.116256,RAB27B,4.9706364,1.3451967131463458e-09,7.050289
