C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score,C20_names,C20_logfold,C20_pvals_adj,C20_z_score
CTSZ,2.883656,0.0,55.40526,CES1,4.2906365,0.0,43.608315,CXCL16,4.2441654,0.0,76.3093,CPA3,8.779202,0.0,73.37748,SRGN,3.4201543,3.697740555253072e-273,35.589382,S100A9,5.3952894,0.0,52.609886,CLC,8.36693,1.2693842295624418e-110,22.781345,LENG8,3.0960083,5.836324500050652e-118,23.451004,HIST1H1B,5.5336113,0.0,49.32347,FOS,4.6016355,1.1366835787299049e-172,28.321367,CEP55,5.262624,0.0,54.349575,COL1A1,5.3757224,0.0,67.19998,SERPINE2,4.0132065,0.0,61.364235,CXCL12,3.09774,0.0,59.76798,SMURF2,2.89385,0.0,51.624702,HBA2,13.465321,9.024990078466374e-165,27.69416,JUN,3.6647887,1.6041194425119326e-195,30.091764,TXNDC5,4.1134214,1.0606284254803273e-66,17.771593,CD74,4.8752146,2.8021204505015846e-58,16.657352,ITGA2B,6.494356,5.177150955441933e-18,9.705271,LGALS1,2.8181794,7.159913031492759e-69,18.088034
MARCO,5.360795,0.0,55.101498,GPNMB,3.9214585,0.0,42.462807,CTSH,4.486924,0.0,75.70018,LAPTM5,4.6993546,0.0,72.44341,HDC,6.248233,2.253862157560662e-264,34.99707,S100A8,5.6378098,0.0,50.18599,SRGN,2.700304,5.796350158833898e-97,21.32675,RSRP1,3.559851,7.479170475980258e-112,22.80912,TYMS,3.8570633,0.0,44.109886,ZFP36L2,2.847544,3.050728907994545e-116,23.219875,MKI67,4.82509,0.0,53.78014,COL1A2,4.4933205,0.0,66.8777,GAS6,3.319527,0.0,58.947025,HAS2,3.418124,0.0,58.06235,RGS4,3.379863,0.0,50.91287,HBB,13.934937,9.024990078466374e-165,27.687109,CXCR4,4.4931955,1.38186189022657e-182,29.067791,MZB1,9.482534,3.6886853761680437e-47,14.919857,IGHM,10.905852,5.077601157206015e-58,16.588614,GP1BB,9.179376,1.0078959320095804e-15,9.032874,TAGLN,4.338346,9.514624304842593e-66,17.6481
APOE,5.160117,0.0,54.134026,APOE,3.9192598,0.0,41.057644,CTSA,2.979639,0.0,74.360916,GATA2,7.268254,0.0,71.38467,GATA2,5.909123,1.9813274369826804e-241,33.44269,FCAR,5.061119,0.0,45.21836,TMSB4X,1.7968246,2.257936404653885e-95,21.135572,ITGAX,3.8341296,8.536192814621207e-87,20.102047,HIST1H1C,3.2041671,0.0,43.27257,JUN,2.850492,4.6286463696562095e-111,22.698765,TPX2,4.422894,0.0,50.607506,ITGA11,3.8605456,0.0,66.67853,SPARC,3.5687208,0.0,58.543003,DKK1,2.956585,0.0,56.28901,GLIPR1,2.212302,0.0,50.107174,HBD,10.606256,4.6087259396304094e-164,27.613571,TRBC2,8.969586,1.277697208664003e-178,28.746937,JUN,3.2473905,4.3442483806484264e-38,13.379872,CXCR4,5.2859597,7.871022849309643e-57,16.405697,ITGB3,5.9772477,4.107297353080763e-13,8.297162,MYL9,3.8915832,4.932121672950172e-65,17.531874
GPNMB,4.613569,0.0,51.61496,CSTB,2.9803214,0.0,40.689583,FBP1,4.637594,0.0,74.33074,FXYD5,2.5187047,0.0,70.270226,CSF2RB,5.040391,1.4709843733648593e-237,33.166695,CXCL8,4.725667,0.0,44.494286,CD24,6.0908103,2.0985172955412574e-85,20.00852,NABP1,2.2412593,6.559879464240364e-67,17.587944,MCM7,3.622951,0.0,38.317787,MPO,8.617716,3.795443868921946e-106,22.184687,RRM2,4.280127,0.0,49.451363,SPARC,3.9612696,0.0,65.96938,LOXL2,3.2554839,0.0,57.726685,LOXL1,2.630993,0.0,55.794617,SERPINE1,3.7179189,0.0,49.18839,SLC25A37,6.636755,4.3923103337949265e-157,27.007257,ZFP36L2,3.484361,7.941421224733102e-175,28.43301,IGKC,11.650806,5.116000888641131e-33,12.418838,CD79A,9.598317,2.632279370637895e-51,15.588362,PLEK,4.4169173,1.65539753572292e-12,8.064994,TMSB10,2.2178755,5.532971551889601e-53,15.844681
CCL18,5.12947,0.0,51.267807,CD68,3.4323044,0.0,40.54441,CYP27A1,4.4699492,0.0,73.3153,HPGD,7.792528,0.0,69.99063,MS4A2,5.542102,1.4283874521253338e-227,32.45972,LSP1,3.7500665,0.0,43.78116,CSF2RB,4.4540505,7.483362158916961e-79,19.230175,APOE,2.8804348,1.537468452077642e-59,16.568264,RRM2,3.781269,1.0867353335813482e-274,35.64318,DUSP1,2.4099586,3.033540299081456e-97,21.217789,ANLN,4.8557024,0.0,48.828617,COL3A1,3.9248607,0.0,64.526245,IGFBP7,3.0371428,0.0,57.427303,MXRA8,2.3965166,0.0,55.62099,NEK7,2.8181534,0.0,48.67155,SNCA,7.23112,1.044928403119958e-149,26.35396,PNRC1,2.7234876,1.1083563947002601e-173,28.334833,SEC11C,3.714565,2.8712612605764785e-29,11.6796465,BTG1,4.861427,1.6328717827696368e-49,15.296023,FERMT3,3.8526223,1.921062053402007e-12,8.019424,TPM2,3.5864587,1.889897997955764e-52,15.75575
CD163,4.907092,0.0,51.027542,LGALS3,2.6912014,0.0,40.41336,CSTB,3.6675656,0.0,73.01658,CTSG,8.4461775,0.0,69.85011,SAMSN1,4.6299577,1.04197553091306e-223,32.17913,PLAUR,2.9670308,0.0,43.006416,EGR3,5.5540786,3.1572976414485975e-75,18.782627,KLF6,1.7152097,1.5170135573751737e-55,15.99029,MCM5,3.3711667,9.716184302401672e-271,35.382053,CELF2,2.7407274,1.2011158022983795e-93,20.815662,PLK1,5.4686317,0.0,47.93254,COL5A1,3.9191847,0.0,63.709766,ITGA11,3.1626832,0.0,56.88673,TPM1,3.450014,0.0,55.380135,CNN3,2.73193,0.0,48.327415,BNIP3L,4.1543627,2.7228494721047678e-148,26.22565,BTG1,4.466137,1.8468932530694527e-167,27.819029,UBE2J1,2.02342,2.76411849234289e-26,11.048389,JUND,3.4649568,1.933310504178891e-48,15.127347,TMSB4X,1.7628652,4.164913609596828e-12,7.9119596,TMSB4X,1.4405265,2.966542756611187e-48,15.122642
CES1,4.7818475,0.0,50.67413,NUPR1,3.165324,0.0,40.39842,LYZ,5.597194,0.0,72.589386,GLUL,4.27585,0.0,68.78965,CLU,4.871371,6.303665374212702e-219,31.830631,CSF3R,4.5897894,0.0,41.44128,BTG2,3.5370152,5.5081717220681e-71,18.241058,ALOX5,2.4949787,3.6434990106041405e-53,15.633863,MKI67,3.3399906,8.314625263846861e-268,35.18269,SPN,2.7026482,1.864775160178306e-92,20.679857,CENPE,4.567162,0.0,47.42857,HTRA1,3.1165807,0.0,62.044872,LOX,3.2932703,0.0,56.850456,C12orf75,2.5599642,0.0,55.37273,CCN2,3.5450091,0.0,47.963047,ALAS2,9.808139,1.5571537394652882e-147,26.15515,JUNB,2.9299076,1.3094997738349948e-156,26.898005,ITM2C,4.0236816,1.5264795437619647e-25,10.882752,MS4A1,12.013474,1.3341030986102272e-47,14.982249,CAVIN2,6.746681,1.1639258576900825e-11,7.761879,TPM1,3.3901384,1.2205276399730946e-46,14.859084
CD74,4.4386315,0.0,50.328156,FTL,1.8239685,0.0,38.52672,IFI30,4.8874593,0.0,72.32167,SAMSN1,5.217492,0.0,67.82106,FCER1A,5.495913,9.346995617014298e-217,31.669134,NAMPT,3.173352,0.0,40.71097,NCF2,3.7791803,1.7769766264521945e-66,17.651966,MT-ND4,1.9769813,9.08833619255568e-53,15.573578,CENPU,3.6312926,6.86940621359534e-260,34.657707,CD74,2.8739758,1.0984363035585165e-76,18.81596,FOXM1,3.7907834,0.0,47.358307,THBS2,4.0300713,0.0,62.01448,PRSS23,3.2431984,0.0,56.665874,MAP1B,2.6981108,0.0,55.232548,MYO1B,2.4882236,0.0,47.90609,SLC4A1,9.563797,4.544094383611499e-143,25.752583,FOS,4.12309,8.595752212125773e-148,26.12039,IGHA1,11.704304,4.535228120578054e-23,10.3243685,CD37,3.9256465,1.0230642892642072e-45,14.681362,NRGN,7.4234657,3.491938403648255e-10,7.2672343,ANXA2,2.2992394,2.0291059726522998e-44,14.505257
PSAP,3.3759215,0.0,49.88631,CXCL8,3.8716762,1.0513878527450468e-285,36.32816,TFRC,3.8800466,0.0,71.85019,CLU,5.595809,0.0,67.11148,BHLHE40,3.546148,2.591905313616301e-216,31.633224,CYBB,3.3793435,0.0,40.4104,CD69,4.296549,2.3798543354567146e-64,17.362762,PLEC,1.4429278,1.6048697416544751e-52,15.5363,MCM2,3.9019723,9.088084611113903e-257,34.44681,EEF2,1.0333878,8.33776562756423e-74,18.454777,CENPF,4.8458195,0.0,46.849907,PSAT1,3.3107436,0.0,60.289303,THBS2,3.4759972,0.0,56.580772,FSCN1,2.5215573,0.0,55.059673,ADAMTS1,2.8633323,0.0,47.898415,TENT5C,7.6561766,3.5617443460978128e-130,24.560402,IL32,7.3939095,1.0522696369339145e-140,25.486347,TENT5C,4.8558626,8.234327019540246e-20,9.536633,JUN,3.6165977,5.964274468894785e-42,14.068431,PRKAR2B,6.1058693,8.986290107966249e-10,7.1120834,CALD1,3.2229471,9.38832766496266e-43,14.233076
CTSB,2.350939,0.0,49.773766,LAMP1,1.3660256,3.5902375053045405e-276,35.716602,CTSD,3.9183152,0.0,71.67289,SIGLEC6,6.7827334,0.0,66.33728,CPA3,6.0720954,2.8707898384271205e-216,31.626669,CD14,3.4862142,0.0,39.759483,FTL,1.9614109,3.581544244703728e-63,17.197487,MT-ND3,2.1140196,7.913627058769033e-52,15.430566,TUBB,1.9210811,4.988316225569831e-255,34.327663,SELL,4.6298995,2.2199759889743466e-70,18.015932,TYMS,3.4108527,0.0,46.35993,LAMC1,2.8756454,0.0,59.344284,COL4A1,3.0323505,0.0,56.406292,CCN1,2.6334622,0.0,54.74602,ATP8B1,2.5044115,0.0,47.379436,RBM38,6.5388513,6.824514759320035e-129,24.435535,TRAC,9.644428,2.786228100348099e-139,25.355282,DERL3,7.742485,6.600957041497146e-19,9.301034,FOS,4.383181,4.126527984303304e-40,13.754399,RAB27B,4.9706364,1.3451967131463458e-09,7.050289,PEA15,2.5779605,2.589403093135423e-41,13.988193
