C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score,C20_names,C20_logfold,C20_pvals_adj,C20_z_score,C21_names,C21_logfold,C21_pvals_adj,C21_z_score
CTSZ,2.878788,0.0,54.712223,CES1,4.3359103,0.0,45.291855,CXCL16,4.2442713,0.0,75.05075,CPA3,9.03621,0.0,75.07587,S100A9,5.280227,0.0,53.567898,CLC,8.36693,1.2693842295624418e-110,22.781345,LENG8,3.414585,1.08069773830633e-145,26.038988,SRGN,3.3075943,2.241087656450551e-222,32.13947,MYL9,3.6829166,6.8225345735623065e-77,19.079014,MKI67,5.0268693,0.0,51.36023,FOS,4.6105843,1.7971208336975278e-174,28.467241,MT-ATP6,3.172589,0.0,53.64315,CXCL12,2.9920225,0.0,53.76088,SMURF2,2.85841,0.0,51.826187,COL1A1,5.4193206,0.0,71.55839,TXNDC5,4.0421376,2.9973063929518313e-66,17.713224,CEP55,3.3934028,1.212470519524684e-224,32.301308,HIST1H1B,5.4499016,0.0,45.87604,HBA2,13.465321,9.024990078466374e-165,27.69416,JUN,3.6647887,1.6041194425119326e-195,30.091764,CD74,4.8752146,2.8021204505015846e-58,16.657352,ITGA2B,6.371823,2.3733242609390492e-17,9.548763
MARCO,5.3717437,0.0,54.674377,GPNMB,4.006785,0.0,44.66194,CTSH,4.4626136,0.0,74.03642,LAPTM5,4.7102265,0.0,73.758705,S100A8,5.4646697,0.0,50.83939,SRGN,2.700304,5.796350158833898e-97,21.32675,RSRP1,3.872706,1.4054341703276815e-134,25.018085,GATA2,5.9933925,1.8322927159442387e-206,30.957294,LGALS1,2.531983,3.332734007259038e-75,18.838001,CEP55,5.0154634,0.0,49.338367,ZFP36L2,2.8516262,4.10574645109716e-116,23.207104,MT-ND5,2.8851814,0.0,53.329487,HAS2,3.3446343,0.0,52.843773,RGS4,3.274571,0.0,50.239567,ITGA11,3.9121177,0.0,71.20345,MZB1,9.3950405,5.5908545052626796e-46,14.726939,FOXM1,2.925602,2.5927954621586656e-222,32.11338,TYMS,3.7869473,0.0,40.878696,HBB,13.934937,9.024990078466374e-165,27.687109,CXCR4,4.4931955,1.38186189022657e-182,29.067791,IGHM,10.905852,5.077601157206015e-58,16.588614,GP1BB,9.18824,2.283013233636656e-16,9.193921
APOE,5.1444407,0.0,53.41264,APOE,3.952385,0.0,42.729973,FBP1,4.6974177,0.0,73.68844,GATA2,7.3509164,0.0,72.694916,CXCL8,4.8365407,0.0,47.06749,TMSB4X,1.7968246,2.257936404653885e-95,21.135572,ITGAX,4.2211785,4.522991138425832e-104,22.002068,HDC,5.8970504,9.925126540055652e-200,30.43956,TAGLN,3.8394828,6.360504802173569e-70,18.160774,RRM2,4.593602,0.0,48.29503,JUN,2.867502,2.6897306381624747e-113,22.92401,GAS6,3.1937811,0.0,53.09916,LOXL1,2.6158433,0.0,51.74273,SERPINE1,3.7253954,0.0,50.179768,COL1A2,4.5274973,0.0,71.130165,JUN,3.147663,5.25287341864442e-36,12.99665,C12orf75,2.4123986,2.568761550809291e-212,31.376291,HIST1H1C,3.2009265,0.0,40.189495,HBD,10.606256,4.6087259396304094e-164,27.613571,TRBC2,8.969586,1.277697208664003e-178,28.746937,CXCR4,5.2859597,7.871022849309643e-57,16.405697,ITGB3,5.866115,1.1553183637369196e-12,8.108818
CD163,4.913138,0.0,51.04371,CD68,3.460397,0.0,41.971413,CTSA,2.9670002,0.0,72.48939,FXYD5,2.514198,0.0,71.467964,FCAR,5.046222,0.0,46.99525,CD24,6.0908103,2.0985172955412574e-85,20.00852,NABP1,2.5220559,5.870637207747856e-86,19.969904,MS4A2,5.397911,2.079977627022155e-181,29.012316,TPM2,3.206952,3.028171232866428e-56,16.310043,CENPE,4.7014976,0.0,46.770935,MPO,8.713667,1.5593865606234167e-110,22.64065,SERPINE2,3.666609,0.0,52.946095,TPM1,3.4267285,0.0,51.556133,CCN2,3.590174,0.0,49.3366,SPARC,4.0140657,0.0,70.906494,IGKC,11.508806,3.814039940569533e-32,12.257064,CXCL12,2.7675421,4.024632622119248e-211,31.279375,MCM7,3.6454723,6.977352237949773e-282,36.110653,SLC25A37,6.636755,4.3923103337949265e-157,27.007257,ZFP36L2,3.484361,7.941421224733102e-175,28.43301,CD79A,9.598317,2.632279370637895e-51,15.588362,PLEK,4.3122053,6.054100027000574e-12,7.873603
GPNMB,4.596936,0.0,50.88954,CSTB,2.9804337,0.0,41.799618,CYP27A1,4.414708,0.0,71.29708,HPGD,7.940613,0.0,71.433945,PLAUR,3.0010855,0.0,45.23723,CSF2RB,4.4540505,7.483362158916961e-79,19.230175,KLF6,1.9578587,2.204912614298649e-70,18.029945,SAMSN1,4.398588,4.532880234427471e-175,28.49763,CALD1,3.0602062,1.1243510274420569e-51,15.632798,TPX2,4.3698373,0.0,46.692284,DUSP1,2.4603467,2.5759087188521192e-102,21.770517,MT-ND4,2.9503129,0.0,52.581238,MXRA8,2.3704286,0.0,50.99772,CNN3,2.6929245,0.0,48.38347,COL3A1,3.9322467,0.0,68.391785,SEC11C,3.6569908,7.294923232053418e-29,11.600963,TYMS,2.5402315,2.0568002425966368e-200,30.474426,MCM5,3.4202015,1.6645395879363808e-242,33.495937,SNCA,7.23112,1.044928403119958e-149,26.35396,PNRC1,2.7234876,1.1083563947002601e-173,28.334833,BTG1,4.861427,1.6328717827696368e-49,15.296023,FERMT3,3.7580817,6.7951445471606325e-12,7.820506
CCL18,5.1145372,0.0,50.637268,LGALS3,2.6768367,0.0,41.302444,CSTB,3.6371799,0.0,71.05918,CTSG,8.615063,0.0,71.22242,LSP1,3.7160473,0.0,45.092438,EGR3,5.5540786,3.1572976414485975e-75,18.782627,ALOX5,2.814802,6.9794661402281885e-68,17.69828,CLU,4.6369777,1.5760988351383944e-172,28.285376,TMSB10,1.8427547,2.4883494425771986e-48,15.1254225,PLK1,5.380218,0.0,45.486206,CELF2,2.7602444,1.3205216099693353e-94,20.92329,MT-CO3,2.9469683,0.0,52.54368,DKK1,2.8638673,0.0,50.681095,MYO1B,2.4723237,0.0,48.294243,COL5A1,3.963312,0.0,67.91034,UBE2J1,1.9840363,6.318577061165081e-26,10.977701,ACTB,1.2046229,8.205511064971679e-200,30.423052,MCM2,3.9899213,2.869920738505394e-241,33.40629,BNIP3L,4.1543627,2.7228494721047678e-148,26.22565,BTG1,4.466137,1.8468932530694527e-167,27.819029,JUND,3.4649568,1.933310504178891e-48,15.127347,CAVIN2,6.661087,2.3938408276574344e-11,7.643241
CES1,4.8120437,0.0,50.472492,NUPR1,3.120049,0.0,40.93834,LYZ,5.563644,0.0,70.82299,GLUL,4.3002386,0.0,70.22138,CSF3R,4.5960774,0.0,43.489918,BTG2,3.5370152,5.5081717220681e-71,18.241058,MT-ND4,2.278162,1.56067573435822e-67,17.652395,CPA3,5.73292,8.264464658701405e-170,28.057901,TPM1,2.8627505,9.891231577541147e-42,14.061328,ANLN,4.7332854,0.0,44.808075,SPN,2.6862426,9.296294705636048e-92,20.599442,MT-ND3,2.7370923,0.0,52.257782,TNC,2.8087957,0.0,50.599453,GLIPR1,2.0942454,0.0,47.93464,THBS2,4.1072807,0.0,66.58989,ITM2C,3.9635715,2.1342116353088894e-25,10.859666,PTTG1,3.0413482,5.077489922554893e-195,30.053492,PRDX2,3.1793263,1.2362361584492347e-223,32.16123,ALAS2,9.808139,1.5571537394652882e-147,26.15515,JUNB,2.9299076,1.3094997738349948e-156,26.898005,MS4A1,12.013474,1.3341030986102272e-47,14.982249,TMSB4X,1.7015685,2.697932108419953e-11,7.6200137
CD74,4.462723,0.0,50.08174,FTL,1.7767216,0.0,38.789993,TFRC,3.876422,0.0,70.432335,SAMSN1,5.3201647,0.0,69.67954,NAMPT,3.2207017,0.0,43.07513,NCF2,3.7791803,1.7769766264521945e-66,17.651966,APOE,3.1804247,9.2636718380467e-67,17.547651,BHLHE40,3.4288962,6.39186369977588e-168,27.897917,ANXA2,1.9748143,1.1046107926851086e-40,13.883803,TACC3,4.08148,0.0,44.72028,CD74,2.8464975,1.6642322662428984e-75,18.66853,MT-CO2,2.784567,0.0,51.243546,CCN1,2.5844364,0.0,49.78869,ACTA2,3.1065516,0.0,47.608723,HTRA1,3.1395767,0.0,65.993095,IGHA1,11.573268,1.8536544154147273e-22,10.189266,ANLN,3.2020044,2.1907404917856518e-189,29.614603,CENPU,3.5327804,1.2206902503221068e-210,31.20621,SLC4A1,9.563797,4.544094383611499e-143,25.752583,FOS,4.12309,8.595752212125773e-148,26.12039,CD37,3.9256465,1.0230642892642072e-45,14.681362,PRKAR2B,6.163889,2.630771960376227e-10,7.2985053
PSAP,3.418,0.0,50.033463,CXCL8,3.9522202,0.0,38.12648,IFI30,4.8554177,0.0,70.423645,CLU,5.719457,0.0,68.90581,CD14,3.5784805,0.0,42.43505,CD69,4.296549,2.3798543354567146e-64,17.362762,MT-ND3,2.3737838,1.9663827410816802e-63,17.097275,FCER1A,5.1346307,1.9557672354892283e-160,27.269594,PEA15,2.2132576,6.371591309772143e-40,13.752305,CKAP2,3.9828653,0.0,44.571922,SELL,4.660943,1.6507069784262196e-71,18.161537,MT-ND2,2.5829942,0.0,50.014328,FSCN1,2.4652739,0.0,49.787598,NEK7,2.7289422,0.0,47.599472,PSAT1,3.36973,0.0,64.624466,TENT5C,4.7942214,3.381756894589116e-19,9.390929,TUBB,1.8605736,4.153420836726467e-186,29.354929,TUBB,1.8488404,1.1913280988877806e-209,31.130816,TENT5C,7.6561766,3.5617443460978128e-130,24.560402,IL32,7.3939095,1.0522696369339145e-140,25.486347,JUN,3.6165977,5.964274468894785e-42,14.068431,NRGN,7.343239,6.530497314339676e-10,7.1620917
CTSB,2.37462,0.0,49.66761,LAMP1,1.3991385,3.8929872747169144e-305,37.536175,MRC1,4.3301096,0.0,70.20295,SIGLEC6,6.9836235,0.0,68.02822,BRI3,1.8617105,0.0,42.235733,FTL,1.9614109,3.581544244703728e-63,17.197487,PLEC,1.6323726,3.7005197508656203e-63,17.05997,CSF2RB,4.6036158,5.6460105391197925e-154,26.715345,MAP1B,2.8715777,2.928854329945846e-39,13.631785,CENPF,4.755696,0.0,44.091667,AIF1,2.8678854,2.999317123366155e-68,17.737413,LOXL2,3.0646226,0.0,49.92103,ENAH,2.4964201,0.0,49.54977,CLIC4,2.1224043,0.0,47.34843,MMP2,3.0981271,0.0,63.47073,DERL3,7.688205,2.1813898426788664e-18,9.177716,UGDH,2.006472,2.694945467040819e-180,28.892334,RRM2,3.4927783,1.8604292904171916e-209,31.11222,RBM38,6.5388513,6.824514759320035e-129,24.435535,TRAC,9.644428,2.786228100348099e-139,25.355282,FOS,4.383181,4.126527984303304e-40,13.754399,LCP2,2.8353841,1.152134312775759e-09,7.063503
