C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score
AZU1,5.121176,0.0,76.69302,CD74,4.7406044,9.763595239639548e-88,20.342596,CLC,7.561503,0.0,65.7802,PADI4,4.1822643,0.0,78.824165,CXCL8,3.079384,0.0,65.831505,MKI67,3.3629315,0.0,68.432205,SRGN,3.2987208,0.0,75.21681,GATA2,6.788571,0.0,70.05264,SIGLEC6,5.234368,0.0,42.878857,CXCL8,3.1202042,0.0,66.70215,LYZ,3.584664,0.0,45.871666,APOE,7.055889,0.0,69.94664,ITGB3,8.133646,1.670624973613894e-56,16.444138,HBB,11.977899,8.32318737745669e-24,10.920428,CALD1,9.422993,1.0463981894945194e-264,35.038742,CYTIP,2.9050066,3.78302284724088e-21,10.261919
ELANE,5.3360405,0.0,76.03088,CD68,3.4876204,2.286610851532559e-84,19.923824,PRG2,7.491018,0.0,60.51789,S100A9,4.4685235,0.0,76.794975,IL1RN,3.8225398,0.0,64.69542,S100A8,4.182139,0.0,67.890144,AZU1,4.832474,0.0,71.10435,HDC,6.980951,0.0,68.71271,HPGD,5.8743315,0.0,41.55827,FTH1,2.7203457,0.0,61.409428,CXCL2,3.969099,0.0,43.18433,CTSB,4.059831,0.0,68.8189,ITGA2B,6.616756,3.2263777850827867e-53,15.935928,PRKAR2B,5.593963,2.968457762840748e-23,10.7670555,SERPINE1,8.391619,4.180573051778995e-257,34.51595,TRBC2,7.7629805,4.702470737223249e-17,9.154493
MPO,5.381067,0.0,74.63768,CSTB,3.7566721,2.1373014136364707e-83,19.791185,EPX,8.823525,0.0,59.594887,S100A8,4.342832,0.0,75.020905,BRI3,1.9390395,0.0,61.318966,S100A9,4.181195,0.0,66.53866,ELANE,5.093411,0.0,71.042625,CPA3,7.088846,0.0,68.08141,GATA2,5.537597,0.0,41.24,CD83,2.867382,0.0,58.269627,EMP1,4.2466908,0.0,42.430996,CES1,6.4359927,0.0,68.49169,RAB27B,6.5766306,1.6632222950846797e-51,15.661806,HBD,11.516277,4.2103510204473005e-23,10.708217,DKK3,10.899337,4.936428192487918e-250,34.029392,TC2N,8.870058,2.835773010447745e-15,8.664173
SERPINB1,2.2809584,0.0,70.145905,FTL,2.282237,1.1200179753562224e-80,19.458323,CD24,2.6063864,0.0,50.081955,CKAP4,3.3460147,0.0,71.17799,CSF3R,2.2628098,0.0,60.049706,NUSAP1,2.9526675,0.0,60.201225,MPO,5.2843323,0.0,70.94706,SEMA7A,5.5777593,0.0,62.97958,CMIP,3.5012834,0.0,41.01762,CD68,2.4548862,0.0,57.95611,S100A10,3.465111,0.0,42.168007,CTSZ,4.1326623,0.0,68.14437,LTBP1,7.6263623,2.4210865686270554e-50,15.472069,ANK1,7.857143,5.384560139406847e-22,10.408462,TPM1,4.658661,1.8860389032145717e-240,33.36669,TCF7,8.955203,4.252666834987801e-15,8.613997
SRGN,2.8788357,0.0,70.14581,LGALS3,3.6645153,1.4808511378837694e-79,19.314013,TMSB4X,1.1236963,0.0,47.944145,S100A12,4.545576,0.0,68.02249,IER3,2.4731624,0.0,59.50607,CKAP2L,3.1302972,0.0,58.086758,CEACAM6,3.784237,0.0,70.06499,LAPTM5,2.0037637,0.0,61.768208,KIT,6.1299424,0.0,40.750576,CD74,3.4026628,0.0,56.98195,CXCL3,4.5384426,0.0,40.528107,GPNMB,6.050105,0.0,67.81669,THBS1,7.417572,2.7743823563979354e-50,15.448921,FADS2,2.4544857,7.341865308165124e-22,10.362971,SPARC,6.393408,1.0171732748268882e-239,33.3095,IL7R,3.8826425,6.9121626356035246e-15,8.554381
PRTN3,4.712435,0.0,68.9823,VIM,2.4084766,1.663807860128474e-71,18.313644,IKZF2,5.0352635,0.0,46.909412,HK3,2.7170396,0.0,67.33733,PHACTR1,2.7910821,0.0,59.178074,TPX2,2.8182013,0.0,56.495937,SLPI,3.342988,0.0,68.81283,ITGA2B,6.0286255,0.0,61.359188,PLD3,4.0259557,0.0,40.534115,IL1B,3.459006,0.0,55.833393,CD74,3.7566054,0.0,40.35474,CTSL,4.7482324,0.0,65.67292,PRKAR2B,7.3036175,4.392438774149512e-50,15.407496,GATA1,5.0997534,2.508573992528578e-21,10.234624,MMP1,8.072314,8.507331347923963e-237,33.098835,NOP53,2.8652549,9.289981327534173e-15,8.516529
SPN,2.1828606,0.0,65.76323,CAPG,2.7873497,1.6270522919897194e-64,17.40781,RNASE2,3.7682421,0.0,44.775913,FPR2,2.5423281,0.0,63.18073,MCOLN1,2.5001063,0.0,56.29032,PADI4,2.8972132,0.0,56.301296,SERPINB1,2.3621166,0.0,68.78089,SIGLEC6,5.0843263,0.0,61.044758,VWA5A,4.0823283,0.0,40.066647,LGALS3,2.6278782,0.0,54.745552,CCL3,3.9632747,0.0,39.16464,CCL18,7.6873198,0.0,65.3731,CAVIN2,7.1476064,1.3238325282001717e-49,15.326014,REXO2,3.624047,3.947434795101913e-21,10.172908,HTRA1,9.661961,8.507331347923963e-237,33.096897,EVL,2.9773693,5.661171276603254e-14,8.293917
CTSG,3.8834875,0.0,65.08906,CTSB,3.1645162,8.903680307349012e-61,16.894676,PRG3,8.1632805,0.0,40.28157,S100P,2.322197,0.0,62.395836,LITAF,1.73085,0.0,53.80882,HMGB2,2.0688899,0.0,55.630184,BEX1,3.5703185,0.0,67.75265,FCER1A,6.2302656,0.0,59.902668,CLU,3.5987384,0.0,39.536797,GRINA,1.5629094,0.0,53.60663,IL1B,3.657753,0.0,37.79256,NUPR1,7.04125,0.0,64.83204,NRGN,8.071101,2.2519695479113705e-49,15.282758,LBH,6.24607,1.0759990101274156e-19,9.837833,TXNDC5,5.3508034,4.794126360214429e-235,32.97093,WIPF1,1.7356329,1.2666132764229687e-13,8.184609
CST7,2.5784254,0.0,64.13854,CTSH,3.3742695,1.7326658796375013e-59,16.707808,ALAS1,2.8164752,1.0725990906745027e-269,35.260452,DYSF,2.2629175,0.0,62.172638,IFI30,2.3215215,0.0,53.49018,HIST1H1B,3.0444114,0.0,55.15941,NUCB2,2.7651,0.0,64.69132,GCSAML,6.1339655,0.0,58.287884,CPA3,6.060901,0.0,39.373516,IFI30,2.3457,0.0,53.050663,CD68,2.4164503,2.6407051876532793e-306,37.61307,CXCL3,5.3831105,0.0,64.402435,CMIP,3.9069774,1.4191983363173093e-46,14.848977,LEPR,5.699999,2.6477347442033486e-19,9.732266,EFEMP1,10.030006,3.1690840354779974e-234,32.910072,BTG1,2.5149972,2.3045398809586107e-13,8.094813
SLPI,2.988664,0.0,63.45879,ANXA2,3.9015799,1.0706454888992622e-56,16.298555,ANXA1,1.1836718,4.165000512582912e-262,34.760338,SYNE1,3.156815,0.0,62.163525,CTSA,1.5686758,0.0,53.068844,CEP55,2.8269842,0.0,54.716763,PRTN3,3.958341,0.0,63.155403,SAMSN1,2.406874,0.0,55.754074,HDC,5.318916,0.0,39.182278,PHACTR1,2.5280848,0.0,52.687283,CD44,2.1957185,5.0555224316871995e-304,37.470398,CD68,3.2185352,0.0,63.89648,PTGS1,4.9844794,5.915136038390385e-46,14.745859,MPST,3.0674179,9.522718702561102e-19,9.594577,FN1,8.85704,3.2011015310762033e-233,32.836586,FXYD5,1.3756242,4.644963873015739e-13,8.001108
