Cluster,Gene,Score,Adjusted p-value
0,MKI67,17.845617,5.634451912184321e-67
0,TUBB,17.177881,3.5041327028581556e-62
0,HIST1H1B,16.510397,1.8554196536746533e-57
0,RRM2,16.489645,1.9622633424783694e-57
0,TYMS,16.264887,6.314995923095399e-56
0,TUBA1B,15.780781,1.267429227372948e-52
0,HIST1H2BH,15.221336,5.999199469562607e-49
0,TPX2,15.21857,5.999199469562607e-49
0,CDK1,14.822758,2.090844977698574e-46
0,LMNB1,14.588818,5.963532997782093e-45
0,HIST1H1C,14.49914,2.0100079657018276e-44
0,CKAP2L,14.426317,5.308661630909304e-44
0,CRIP1,14.347834,1.523879112323818e-43
0,CKS1B,14.011513,1.7064006308527777e-41
0,TACC3,14.00057,1.8578615739981125e-41
0,HMGB2,13.906365,6.527718938106148e-41
0,NUSAP1,13.60413,4.0121894839686456e-39
0,ZWINT,13.491688,1.7527091006916825e-38
0,SMC4,13.212972,7.00528047443311e-37
0,FOXM1,13.032863,7.17002708953097e-36
0,CKS2,12.637554,1.1248753376044908e-33
0,HJURP,12.577057,2.313131350459904e-33
0,TMPO,12.075217,1.1188914956502065e-30
0,IDH2,12.032202,1.8072170689429244e-30
0,CENPH,12.0106945,2.2507905859805574e-30
0,CENPU,11.999627,2.474022114254575e-30
0,KIF11,11.958247,3.924340126201233e-30
0,CENPE,11.74921,4.588280565422502e-29
0,TK1,11.6744995,1.0694134902838752e-28
0,DEK,11.417668,2.0502083969011278e-27
0,KIFC1,11.21077,2.0990329848084465e-26
0,TOP2A,11.1465,4.19480765957783e-26
0,SPC25,11.076569,8.902274498117246e-26
0,NDC80,11.057451,1.0694503765116802e-25
0,MYBL2,10.944002,3.6558253212463746e-25
0,CEP55,10.913062,4.998164500446169e-25
0,H2AFZ,10.847911,9.938720539511874e-25
0,NUCB2,10.814707,1.3907564072919505e-24
0,TMEM106C,10.794206,1.694254924943939e-24
0,NCAPG,10.613971,1.156205985208319e-23
0,KIF22,10.538003,2.5369048097473863e-23
0,HMMR,10.519262,3.021963974044223e-23
0,FANCI,10.503163,3.5011894191747615e-23
0,STMN1,10.406694,9.256089566498317e-23
0,HPGD,10.330098,2.018101823983325e-22
0,NCAPG2,10.220549,6.15199050445857e-22
0,KIF23,10.121438,1.666541906824384e-21
0,SGO1,10.115905,1.7274833595773405e-21
0,MS4A2,10.087228,2.2680642738458727e-21
0,CTSG,10.059683,2.9425488535399954e-21
0,ANXA1,10.032893,3.7871499007535505e-21
0,SKA1,10.007738,4.792671423201382e-21
0,CENPF,9.995539,5.3207458397901356e-21
0,UBE2T,9.938562,9.269704682326204e-21
0,AURKB,9.903094,1.298915137298274e-20
0,TCF19,9.88775,1.487639039745496e-20
0,SHCBP1,9.829391,2.614156418993245e-20
0,HIST1H1D,9.680851,1.1109386815009274e-19
0,SPAG5,9.673807,1.1703141178075026e-19
0,PCLAF,9.6607275,1.308029015883189e-19
0,MAD2L1,9.615071,2.00757976541713e-19
0,FEN1,9.509546,5.478303437853187e-19
0,NUCKS1,9.484769,6.840887082604747e-19
0,MELK,9.470179,7.746141175987626e-19
0,ARHGAP11A,9.45408,8.766053923296321e-19
0,BUB1,9.346417,2.3682535746991234e-18
0,USP1,9.179011,1.1043973708564388e-17
0,SRGN,9.162535,1.2689267914103137e-17
0,CKAP2,9.159265,1.2900544929262944e-17
0,NDE1,9.1524725,1.3552539345245903e-17
0,PHF19,9.105685,2.0328960617132963e-17
0,GATA2,9.102918,2.058295577295051e-17
0,RGS13,9.052859,3.2180817310604863e-17
0,STIL,9.011354,4.5852244746921846e-17
0,HIST1H4C,9.002172,4.9239353340529796e-17
0,CENPM,8.997268,5.0861224664955567e-17
0,SMC1A,8.952366,7.46545430679039e-17
0,CDK4,8.888724,1.3106874444539766e-16
0,ASF1B,8.869229,1.5435651158086182e-16
0,RAB27B,8.866085,1.5695094450367312e-16
0,LMNB2,8.77515,3.4562920807954944e-16
0,CALM2,8.772509,3.4990472493794535e-16
0,ADAM12,8.767855,3.6066230338409363e-16
0,CDKN3,8.727607,5.0409603532572e-16
0,KPNA2,8.695409,6.556250549881104e-16
0,ANLN,8.6785555,7.525127169902492e-16
0,ILF3,8.667613,8.19905688213682e-16
0,KIF2C,8.595293,1.5274106036866758e-15
0,BIRC5,8.5580635,2.0895619571082683e-15
0,RAC2,8.52184,2.8302906736280245e-15
0,CCNA2,8.48675,3.791921905711951e-15
0,HDC,8.463355,4.545866987651203e-15
0,CALM3,8.438326,5.578709638638467e-15
0,RRM1,8.4364395,5.615462007520183e-15
0,GRAP2,8.426881,6.036026457839038e-15
0,ANP32E,8.40399,7.269165811616113e-15
0,INCENP,8.338336,1.2573290524542873e-14
0,MCM7,8.320476,1.448635772447146e-14
0,DEPDC1B,8.318589,1.4584966073762977e-14
