C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score
TYMS,4.183217,2.39463364124012e-69,18.148302,SRGN,1.9490874,5.294692547882229e-45,14.753338,LAPTM5,1.726445,1.7101642024009488e-39,13.871277,GPNMB,5.177659,1.3478586734314176e-44,14.690157,SCD,5.243632,8.195873009964039e-48,15.183729,SERPINE1,8.761514,2.0208823083258787e-34,13.006916,NR4A2,2.295179,2.4303993163322717e-40,14.010524,S100A9,4.520096,2.3278997683788533e-61,17.108282,CD24,8.680405,7.800624454170672e-11,7.8454504
MKI67,4.0246496,6.95273308574624e-67,17.795265,CSF2RB,2.6748505,3.076630320065999e-44,14.586904,NSMCE1,2.3929026,1.6273435318085756e-35,13.145757,CTSZ,4.626393,6.25206387696724e-43,14.379942,FABP3,5.4773407,8.648735613382125e-42,14.196969,MMP1,8.090617,7.941540296051515e-33,12.668989,NCOA4,1.8383677,2.577520881923527e-40,13.957024,CD68,2.8874152,6.034198445247828e-56,16.32389,TMSB4X,1.7948819,1.1222096892531635e-08,7.1007023
TUBB,3.17832,3.170099870651966e-61,17.0261,FCER1A,2.6627448,8.99757241649059e-33,12.627318,HPGDS,2.3186016,4.1291517345492584e-31,12.322535,HS3ST2,5.1194634,6.253644514569253e-40,13.864634,MARCO,4.8295393,4.940685319377863e-41,14.0456,PXDN,9.914918,2.411524171011237e-31,12.358958,CMIP,1.7890261,5.8471952692969885e-40,13.869454,SERPINA1,4.271087,5.04264073509594e-55,16.168837,CORO1A,4.078528,9.771637951335992e-08,6.6946673
HIST1H1B,3.2267265,5.714037374989407e-57,16.41431,HDC,2.2979982,1.1546768411657561e-30,12.215972,DUSP4,2.4050102,2.297634969322347e-30,12.15989,LYZ,5.0916405,1.0250489513813371e-38,13.641529,BHLHE41,4.1033683,1.1114002654147492e-40,13.967574,PRSS23,8.618039,2.411524171011237e-31,12.342686,RGS2,2.6805124,9.658127847077697e-39,13.645869,LYZ,4.426371,2.2543330835041395e-53,15.914997,CLC,6.150907,1.5297441136283634e-07,6.5957885
RRM2,4.4648585,5.714037374989407e-57,16.411594,CLU,2.3757532,3.8874601047747094e-30,12.098548,AHR,1.9766184,5.373930156246145e-29,11.880989,IFI30,4.061158,2.940585116456628e-37,13.377994,CCL18,5.050896,4.92157089538257e-39,13.678707,HHIP,11.39276,1.876789618727139e-30,12.158189,JUNB,1.6653595,5.877656720205932e-38,13.497157,CD74,3.7070506,2.921271756475963e-52,15.7397375,ALAS1,4.1432257,2.2686799691531927e-05,5.7100854
TUBA1B,2.1482456,2.4657497237445906e-55,16.17021,PLPP1,2.9779727,3.959289932216127e-30,12.082066,ITM2C,3.5014057,1.3836089465405626e-28,11.78633,CTSB,3.348392,4.015028103044197e-37,13.341239,CD163,4.234298,5.046153330498873e-39,13.663623,TPM1,3.945585,2.1953163967438055e-30,12.117824,SIGLEC6,2.0702405,5.276785994278267e-37,13.320853,CTSH,3.968634,8.629679153879572e-49,15.213817,FOS,3.5434582,4.208408383380845e-05,5.56913
LMNB1,2.925583,5.964006379316853e-55,16.106173,PRG2,3.2971153,4.044107941240706e-28,11.682534,CTSG,3.481992,3.409373665221643e-25,11.095456,LGMN,5.56538,5.704455453696634e-35,12.954757,NUPR1,4.5574336,5.324909143486086e-38,13.469773,EFEMP1,10.547463,1.6225812754707512e-29,11.931848,DDIT4,2.324153,7.159275023125147e-37,13.286525,IFI30,3.4650674,1.2349785939664209e-45,14.711189,SYNE1,6.687049,4.684358480041071e-05,5.5081196
CRIP1,2.0872076,1.338556327806245e-54,16.047806,ITGA2B,2.3290641,1.2787880602419263e-27,11.572842,DCBLD2,2.0258348,2.2539441750159537e-23,10.701892,PLA2G7,4.300286,6.830878180301428e-34,12.752419,APOE,4.0212975,1.5399489196307955e-37,13.382384,CDH5,9.383984,1.7265792516837434e-29,11.917899,VEGFA,2.3060997,8.344691650653105e-36,13.091309,CXCL8,3.9762878,1.3450110011886981e-45,14.697437,KLF10,3.0512955,4.885770875172987e-05,5.4649916
CDK1,3.9575157,2.4775667479403052e-48,15.117953,RFLNB,2.4430406,1.8700674890358186e-26,11.330118,FOXF1,3.1249661,2.1554035430569142e-22,10.479525,CCL18,4.8663683,4.335903431595982e-33,12.59768,CES1,4.4056673,1.0750285508640563e-36,13.229281,ENG,4.2347913,2.5074488600401193e-29,11.878802,ZNF331,2.1406097,1.9524014102114268e-35,13.0176,CYBB,3.6809173,2.0989766744848963e-45,14.660112,ADGRG3,5.9662867,4.885770875172987e-05,5.456226
TPX2,3.3926857,1.2030406870851084e-47,15.0065365,SEMA7A,2.0555413,2.1861917557469998e-25,11.103293,MLC1,3.38617,9.26004276112575e-22,10.330652,EPHX1,3.721426,4.335903431595982e-33,12.589961,FABP4,4.792171,8.076047696582265e-36,13.06959,ECE1,5.1916127,2.8997952869214486e-29,11.859359,NR4A1,1.9213147,6.285348293453712e-28,11.6145525,OLR1,3.2802296,2.4178947126518657e-44,14.486676,CD63,1.832307,5.5692339220484264e-05,5.423266
CKS1B,3.101695,2.9618797757696816e-46,14.786066,CPA3,2.5688088,5.0428300597101345e-23,10.59728,ADAM12,1.9291154,7.434982894197635e-21,10.119592,NUPR1,4.8381715,9.487042059094722e-32,12.3363495,CXCL5,5.032593,1.3839873139303373e-35,13.021908,ITGA5,4.6620874,8.558073797395667e-29,11.755382,TIPARP,1.5462314,1.1338075753061173e-27,11.5490055,GLIPR2,2.849002,3.9155069726957066e-44,14.447527,EPX,10.746914,0.00015602473603916632,5.2090282
ZWINT,3.4762664,1.2607841224153491e-43,14.366746,EGR3,2.3124096,4.826793901586301e-22,10.375561,FOXP1,1.7513714,3.735132914936084e-20,9.936363,LAMP1,2.119638,1.8727416097635032e-31,12.274417,COLEC12,3.794549,8.57439108259896e-35,12.87574,PODXL,9.679669,1.574942744162423e-28,11.697898,CREM,1.6404705,1.1338075753061173e-27,11.548358,GRINA,2.1310778,1.173778786379518e-42,14.205755,CCL23,3.2686934,0.0004929931407263181,4.9123917
