C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score
CTSZ,2.4773915,0.0,48.855835,ITGAX,3.5741968,4.1367046481647876e-134,24.983885,NUPR1,3.0899744,3.4141254188763434e-303,37.480865,CPA3,7.1805677,0.0,67.59492,SRGN,2.4434853,8.335563484769951e-216,31.665707,FBP1,2.4876456,0.0,51.79041,MKI67,5.591373,6.697302623102987e-156,26.965998,FCAR,3.7009969,0.0,42.48742,ITGB3,8.412054,0.0001605523331864046,5.4742064,CLC,6.64224,9.161666703465722e-99,21.552038,CALD1,9.762629,1.2941196581828899e-39,13.891255
MARCO,3.5328314,0.0,47.90253,MT-ND4,5.090942,1.6289579075701566e-125,24.170883,ARF4,2.6679983,3.313152504030709e-214,31.487638,LAPTM5,2.4975145,0.0,65.35965,GATA2,4.376849,3.063399694978234e-190,29.7275,CXCL16,1.7800763,0.0,51.33022,TYMS,4.4423757,3.379975624931521e-125,24.17858,S100A9,2.9623363,0.0,42.162952,NRGN,9.736759,0.0001605523331864046,5.474097,TMSB4X,1.6401279,2.4884768380633225e-88,20.375614,MYL9,8.968055,1.0422804342727096e-34,13.004544
CD163,3.351486,0.0,44.82435,MT-ATP6,5.1432853,2.3842856509017437e-117,23.361425,CALU,1.9862695,2.0928276043183013e-210,31.204493,CTSG,7.045768,0.0,63.84961,HDC,4.0993314,2.0408919125026286e-184,29.259636,CTSH,2.1465714,0.0,48.813152,CEP55,5.761279,9.234416911374774e-115,23.147738,S100A8,3.6715803,0.0,42.044964,PPBP,13.860066,0.0001605523331864046,5.4732184,CD24,4.833558,1.133727548327072e-77,19.100351,FN1,8.647012,1.320244199448186e-34,12.955382
APOE,3.1662796,0.0,44.631947,MT-ND3,5.1561418,5.7545037456236035e-114,23.016556,CES1,2.332073,7.092541566743643e-194,29.950653,GATA2,6.098868,0.0,63.80565,MS4A2,3.7108738,9.490128441557963e-166,27.73526,LYZ,2.7219038,0.0,47.30961,RRM2,5.405135,1.376885266079637e-100,21.681822,CXCL8,2.3460145,0.0,41.89964,CAVIN2,7.9939947,0.0001605523331864046,5.4695945,EGR3,3.9877162,3.321885924838769e-62,17.0937,MMP2,5.008846,4.240825455842823e-34,12.83489
C1QB,4.72435,0.0,43.116806,LENG8,2.77622,1.0850229050358325e-86,20.081085,GPNMB,1.9219657,1.4384480747942668e-160,27.262136,HPGD,6.09071,0.0,63.699577,FCER1A,3.616271,7.468367134795192e-150,26.377577,TFRC,2.2219875,0.0,46.271347,IDH2,2.0328732,5.87300810274592e-96,21.174995,CSF3R,3.5121703,0.0,40.18474,THBS1,7.346053,0.0001605523331864046,5.4619074,SRGN,1.7825698,9.367196882778006e-62,17.026987,SPARC,4.7062445,4.240825455842823e-34,12.825998
IRF8,3.4466488,0.0,42.89247,ALOX5,1.959227,1.1267102907323695e-80,19.361835,APOE,2.0883405,2.414820802762536e-160,27.240786,FXYD5,2.1686072,0.0,63.02297,CLU,3.402039,5.358800420434195e-149,26.297016,CTSA,1.5310318,0.0,45.150856,CDK1,4.7954693,2.8157875654447234e-90,20.540583,BRI3,1.7199643,0.0,38.78347,RUFY1,4.6554046,0.0001605523331864046,5.425504,PLPP1,4.5928555,4.3735532288782815e-57,16.361052,COL6A1,6.734923,4.790183161176542e-34,12.802406
CTSL,2.3262804,0.0,41.034588,RSRP1,3.0850446,5.533289220665538e-79,19.156345,PGRMC2,2.2813592,3.0514741598010175e-160,27.229982,AHR,3.849264,0.0,61.674625,SAMSN1,2.5742564,3.8266629248749485e-135,25.035059,LTA4H,1.9681873,0.0,45.14693,TACC3,3.894446,8.493724051973038e-81,19.43696,PLAUR,1.6588123,7.196538602012833e-298,37.100227,RAB27B,5.8150716,0.0001605523331864046,5.4124913,PYGL,3.249671,9.77947062619625e-56,16.163021,COL6A2,7.285927,8.867307466010336e-33,12.551042
NUPR1,2.8638442,0.0,40.718662,PLEC,2.6910613,6.829905052265032e-70,18.021463,LGALS3,1.1273104,7.634160570257733e-150,26.331125,CLU,5.0440516,0.0,60.90158,ANXA1,2.0239804,1.7578268430442225e-132,24.777807,CSTB,1.7418886,0.0,44.114964,SMC4,2.7928655,6.9355878025605344e-74,18.590504,SOD2,2.2022889,9.070707994519979e-275,35.63507,SERPINE1,5.4299455,0.0002216708859607994,5.3099256,CORO1A,4.012113,1.3429270431425562e-55,16.139935,IGFBP7,7.7917457,1.2895136950366663e-32,12.512005
CCL18,3.0590215,0.0,40.047134,MT-CO3,5.09735,1.3852052313939338e-69,17.98074,EEF2,1.017288,1.305404839226156e-143,25.774061,SIGLEC6,5.254358,0.0,60.38873,CPA3,4.0101075,4.393849735637198e-127,24.260664,PCOLCE2,2.23789,0.0,43.363457,CENPE,4.3043947,5.649645318540697e-71,18.222256,IL1RN,2.9671717,1.193575055746758e-268,35.234436,CD9,3.5463884,0.0002216708859607994,5.3088274,CSF2RB,2.7175536,2.084982748875051e-54,15.963196,TAGLN,6.381515,2.0335640961883705e-30,12.087008
MS4A7,2.460116,0.0,38.82102,MT-CO2,5.019309,6.4100462442998525e-68,17.763834,TXNRD1,1.449874,1.0309522618018142e-142,25.692291,SAMSN1,3.4846623,0.0,58.863136,BHLHE40,1.5833625,1.6652197328665834e-120,23.621782,CYP27A1,2.0068796,0.0,42.776146,CKAP2L,4.384891,1.4628906249287192e-70,18.164394,CCL3,2.8752873,8.73556922217133e-268,35.17495,ACTN1,2.7266638,0.0007883989901878725,5.052522,CYTIP,2.6642885,1.4832777234010357e-49,15.228242,TPM2,9.287189,8.690669673567558e-30,11.959837
