C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score
CTSZ,2.4738061,0.0,49.02823,NUPR1,2.9528039,2.245265516222557e-294,36.93557,FBP1,2.8248987,6.37436873016988e-32,12.559506,PLPP3,2.0450091,6.441702248285436e-187,29.492786,KIT,4.932252,0.0,47.696743,SRGN,2.8334277,1.1672373225778296e-250,34.10391,FBP1,2.4087884,0.0,43.726925,S100A8,3.6456985,0.0,44.099476,CLC,6.7778163,9.110988676742194e-102,21.869791,ITGAX,3.5359104,5.787896050526853e-132,24.785648,TYMS,5.8753138,3.409818531054952e-101,21.809488,FXYD5,2.109113,0.0,39.1106,MPO,9.265129,4.017874615686033e-22,10.627408,CALD1,9.762629,1.2941196581828899e-39,13.891255,MKI67,5.5185957,1.6242942220405858e-142,25.799498,S100A9,6.0517197,5.694684483888975e-40,13.937351,NRGN,9.645925,4.2285716443838655e-05,5.740794
MARCO,3.5548985,0.0,48.412376,CES1,2.2446272,1.5019331119849932e-191,29.774704,TMSB10,1.554786,1.6824124282414206e-24,11.028287,HS3ST2,2.1235583,7.576556068372557e-171,28.187252,CPA3,5.639668,0.0,47.17652,CSF2RB,3.8380678,2.384188817075856e-249,33.995045,CXCL16,1.7287859,0.0,43.418102,FCAR,3.6633456,0.0,44.064625,TMSB4X,1.6975454,5.0818701381598144e-92,20.787458,MT-ND4,5.0353827,1.0012450498036723e-122,23.904217,HPGD,4.2198234,6.185298482481652e-86,20.103756,LAPTM5,2.1662967,2.206859573315259e-303,37.474022,NUCB2,4.292317,1.3520270913213079e-21,10.448066,MYL9,8.968055,1.0422804342727096e-34,13.004544,CEP55,5.8118362,9.891977808471702e-112,22.862638,S100A8,7.2634706,5.694684483888975e-40,13.900401,PPBP,13.672967,4.2285716443838655e-05,5.739852
CD163,3.3685577,0.0,45.20655,ARF4,2.5146956,1.19519297686236e-187,29.468615,TMSB4X,1.0874623,6.427983238719542e-24,10.880872,UGCG,1.9251797,2.0058582144503932e-165,27.726704,HPGD,4.994526,0.0,46.83459,HDC,4.7124887,1.4952604410764014e-232,32.826317,PCOLCE2,2.3129635,0.0,40.92006,S100A9,2.945535,0.0,44.03802,CD24,4.9444594,7.740909326677055e-81,19.491974,MT-ATP6,5.1233916,8.285486814194314e-118,23.412237,CTSG,4.772959,9.667607351341897e-83,19.714975,CPA3,4.981364,3.385737273228722e-294,36.894714,CALR,2.8489945,1.1781384483130789e-17,9.382889,FN1,8.647012,1.320244199448186e-34,12.955382,IDH2,2.2987814,4.483627291896721e-108,22.474104,S100A12,8.634158,7.404729739271325e-33,12.642644,ITGB3,8.164597,4.2285716443838655e-05,5.7387
APOE,3.1850784,0.0,45.091812,CALU,1.8303847,3.614425630426966e-183,29.11109,GSN,1.7148074,6.39925378047072e-17,9.190976,CTSS,1.8036261,3.2097126716380614e-153,26.684618,VWA5A,3.5986712,0.0,46.64657,CLC,7.3287463,7.198062339569852e-216,31.626575,MRC1,2.163343,0.0,39.214447,CXCL8,2.298166,0.0,42.838055,SRGN,1.8798816,3.146341052970041e-66,17.64855,MT-ND3,5.1152787,1.6166129640104788e-111,22.77075,TUBB,3.970692,2.2219168338754123e-76,18.94436,ANXA1,2.3792117,6.311109965854256e-270,35.34064,CAT,2.7309687,1.2028282700023177e-15,8.808891,MMP2,5.008846,4.240825455842823e-34,12.83489,TYMS,4.1477942,1.7268683019997075e-101,21.777163,CD24,4.7646875,9.163443469677674e-31,12.234757,CAVIN2,7.815787,4.2285716443838655e-05,5.727601
IRF8,3.47139,0.0,43.354053,GPNMB,1.8602747,7.498952121967325e-162,27.367777,CRABP2,6.2025924,2.226315641366847e-15,8.7457075,GPNMB,2.089313,1.0078068869220912e-151,26.546928,CTSG,5.609557,0.0,45.651886,CLU,3.8805091,1.2714901834901764e-180,28.935928,TGM2,2.3529735,0.0,38.842323,CSF3R,3.4116445,0.0,40.430756,EGR3,4.085549,2.9127849765948703e-64,17.382093,LENG8,2.7833605,4.6996084933775156e-88,20.23925,ANXA1,2.1981575,6.2820494085748995e-74,18.632942,GATA2,4.250414,1.27198631382894e-268,35.249294,SPN,2.1796923,1.4886045282676413e-15,8.779194,SPARC,4.7062445,4.240825455842823e-34,12.825998,RRM2,5.464668,9.922173245194579e-95,21.041365,PADI4,6.591671,7.343797090093469e-24,10.831665,THBS1,7.154312,4.2285716443838655e-05,5.7041464
C1QB,4.701037,0.0,43.002895,LGALS3,1.1124064,1.0954162796592996e-156,26.923975,ANXA2,1.6021607,1.0477684032699967e-13,8.270611,CHI3L1,2.5792222,4.71670083780089e-148,26.22017,LAPTM5,2.2232628,0.0,45.317707,FCER1A,4.1831408,1.071745103159463e-175,28.536352,TFRC,2.0969567,0.0,37.7398,BRI3,1.6925418,0.0,39.71114,PYGL,3.3541768,1.916339496344507e-60,16.843765,ALOX5,1.9259346,5.443296292640561e-78,19.038858,HIST1H1B,4.392589,1.0960602311595297e-73,18.593355,CTSG,4.905596,2.9087826572880723e-268,35.22067,MLC1,4.7897043,2.509393147576846e-15,8.709465,COL6A1,6.734923,4.790183161176542e-34,12.802406,CDK1,4.9123473,8.571935884474314e-90,20.486443,BASP1,2.7247102,2.6295719305574884e-23,10.699983,RUFY1,4.457993,6.289860720412107e-05,5.604621
NUPR1,2.881687,0.0,41.13713,PGRMC2,2.1957626,8.667878812807975e-151,26.413504,C1QA,2.2137508,2.353112341740967e-13,8.163543,TCN2,1.8903154,1.2336739941551921e-147,26.177649,GATA2,4.920141,0.0,45.30881,GATA2,4.2513256,6.913111781309672e-175,28.466347,ENG,1.7569106,4.729255738076408e-305,37.543026,PLAUR,1.5703567,1.4611124801341268e-290,36.644222,CSF2RB,2.8438308,3.400193380216866e-60,16.804647,RSRP1,3.065397,1.9401450755065946e-77,18.970257,GATA2,3.8368926,5.467988210426052e-69,17.995401,HPGD,3.9046087,3.1127785630139835e-231,32.703842,AZU1,8.083737,3.81819936014683e-15,8.656689,COL6A2,7.285927,8.867307466010336e-33,12.551042,TUBA1B,2.103646,1.2131547249450534e-78,19.187622,FPR2,4.7656555,3.161022072407489e-23,10.670512,SERPINE1,5.2645526,8.64453729457613e-05,5.522268
CTSL,2.3222375,0.0,41.107944,EEF2,0.9830909,5.893440682970087e-149,26.251648,NCF2,1.373125,2.727884728082342e-13,8.140934,CTSA,1.4088234,1.2090459162950267e-144,25.908447,SIGLEC6,4.0818005,0.0,45.086803,MS4A2,3.8265824,1.1091361641721263e-169,28.038477,CTSH,1.9281124,1.0765489789980456e-303,37.45619,IL1RN,2.9244318,3.453094323465404e-286,36.364906,PLPP1,4.6898427,5.132486769249126e-59,16.638124,PLEC,2.6808772,4.581630467313524e-71,18.170319,CPA3,4.332435,5.236165682428113e-67,17.733383,AHR,2.9154563,1.1106766772990473e-220,31.940285,MAT2A,2.862575,8.167787621009477e-15,8.559402,IGFBP7,7.7917457,1.2895136950366663e-32,12.512005,TACC3,3.93051,2.135944945176296e-74,18.665493,MXD1,3.9152188,6.361839893033473e-22,10.366596,RAB27B,5.497191,9.159497946165755e-05,5.4885516
CCL18,3.0602355,0.0,40.216606,APOE,1.9321594,2.5224612466125683e-148,26.192816,SPARC,2.109862,3.697285224355323e-13,8.098756,CSTB,1.5166559,1.4950769970969232e-131,24.714655,AHR,3.3535,0.0,45.052795,PLPP1,5.3137736,2.2914419099816675e-167,27.84417,SLCO2B1,2.0264359,3.192014208161462e-303,37.424038,SOD2,2.1526892,1.0398021643825615e-282,36.140877,CORO1A,4.029291,7.253903057138918e-55,16.032133,MT-ND6,4.639623,1.653114564155128e-70,18.096712,MKI67,4.4917073,7.90082245433349e-67,17.703613,GLUL,1.7177657,9.054085050292524e-220,31.869757,NCL,2.937498,8.220235049259396e-15,8.5503235,TAGLN,6.381515,2.0335640961883705e-30,12.087008,TMEM106C,3.2953377,2.67911382756858e-74,18.647087,FCAR,3.693081,1.3424245650921006e-21,10.285795,ACTN1,2.6490204,0.0002839479048230637,5.227618
MS4A7,2.458194,0.0,38.967,TXNRD1,1.4115924,1.1219646933183131e-145,25.954603,S100A9,1.6255814,5.199012267402975e-13,8.049134,CTSH,1.7323309,5.088148897905957e-131,24.660866,ACSL4,3.0358808,0.0,44.768005,MS4A3,6.169042,3.7224482795767796e-165,27.657547,COLEC12,2.0566568,3.572725275631543e-302,37.35667,CCL4,2.573075,1.3906260887409647e-282,36.12992,CCL23,5.1543565,1.4678916485238676e-50,15.388726,MT-CO3,5.0509396,5.001457207656381e-68,17.776297,MS4A2,3.2655048,3.0088416945841197e-66,17.622202,SRGN,1.673599,7.791827157491036e-214,31.434233,SERPINB1,2.1251366,2.4014411403265226e-13,8.143144,TPM2,9.287189,8.690669673567558e-30,11.959837,HMMR,5.5692887,1.552334681011956e-73,18.54724,CD55,1.9984603,5.058329159172057e-21,10.148733,PF4,15.36997,0.0002839479048230637,5.2189274
