Category,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Cells,Gene Expression,,,Cells,"1,369"
Cells,Gene Expression,,,Confidently mapped reads in cells,26.39%
Cells,Gene Expression,,,Estimated UMIs from genomic DNA,0.98%
Cells,Gene Expression,,,Estimated UMIs from genomic DNA per unspliced probe,1
Cells,Gene Expression,,,Mean reads per cell,"2,215"
Cells,Gene Expression,,,Median UMI counts per cell,767
Cells,Gene Expression,,,Median genes per cell,578
Cells,Gene Expression,,,Number of reads from cells called from this sample,"3,032,925"
Cells,Gene Expression,,,Reads confidently mapped to filtered probe set,87.30%
Cells,Gene Expression,,,Reads confidently mapped to probe set,95.92%
Cells,Gene Expression,,,Reads half-mapped to probe set,0.24%
Cells,Gene Expression,,,Reads mapped to probe set,97.70%
Cells,Gene Expression,,,Reads split-mapped to probe set,1.55%
Cells,Gene Expression,,,Total genes detected,"13,190"
Cells,Gene Expression,Physical library ID,GEX_1,Cells detected in other samples,"184,838 (99.26%)"
Cells,Gene Expression,Physical library ID,GEX_1,Cells detected in this sample,"1,369 (0.74%)"
Library,Gene Expression,,,Estimated UMIs from genomic DNA,0.01%
Library,Gene Expression,,,Estimated UMIs from genomic DNA per unspliced probe,1
Library,Gene Expression,Fastq ID,Undetermined,Number of reads,"1,978,095,987"
Library,Gene Expression,Fastq ID,Undetermined,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,Undetermined,Q30 GEM barcodes,96.8%
Library,Gene Expression,Fastq ID,Undetermined,Q30 RNA read,96.0%
Library,Gene Expression,Fastq ID,Undetermined,Q30 UMI,97.1%
Library,Gene Expression,Fastq ID,Undetermined,Q30 barcodes,94.1%
Library,Gene Expression,Fastq ID,Undetermined,Q30 probe barcodes,88.6%
Library,Gene Expression,Physical library ID,GEX_1,Confidently mapped reads in cells,37.23%
Library,Gene Expression,Physical library ID,GEX_1,Estimated number of cells,"186,207"
Library,Gene Expression,Physical library ID,GEX_1,Fraction of initial cell barcodes passing high occupancy GEM filtering,85.52%
Library,Gene Expression,Physical library ID,GEX_1,Mean reads per cell,"10,623"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads,"1,978,095,987"
Library,Gene Expression,Physical library ID,GEX_1,Number of reads in the library,"1,978,095,987"
